row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,Phần mềmmãy tính,Khác,Tổng,numeric__Quyềnsử dụng đất,numeric__Phần mềmmãy tính,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.914.404.047,47.405.539.072,1.299.496.364,58.619.439.483,9914404047.0,47405539072.0,1299496364.0,58619439483.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,1.968.000.000,-,1.968.000.000,,1968000000.0,,1968000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.914.404.047,49.373.539.072,1.299.496.364,60.587.439.483,9914404047.0,49373539072.0,1299496364.0,60587439483.0
GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRI HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.662.143.536,44.840.913.753,245.574.820,46.748.632.109,1662143536.0,44840913753.0,245574820.0,46748632109.0
Khẩu hao trong năm,GIÁ TRI HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,276.017.710,3.365.173.069,52.250.000,3.693.440.779,276017710.0,3365173069.0,52250000.0,3693440779.0
Trích khấu hao vào xây dựng dở dang,GIÁ TRI HAO MÔN LỦY KẾ > Trích khấu hao vào xây dựng dở dang,Trích khấu hao vào xây dựng dở dang,-,-,238.868.386,238.868.386,,,238868386.0,238868386.0
Số dư cuối năm,GIÁ TRI HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.938.161.246,48.206.086.822,536.693.206,50.680.941.274,1938161246.0,48206086822.0,536693206.0,50680941274.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,8.252.260.511,2.564.625.319,1.053.921.544,11.870.807.374,8252260511.0,2564625319.0,1053921544.0,11870807374.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,7.976.242.801,1.167.452.250,762.803.158,9.906.498.209,7976242801.0,1167452250.0,762803158.0,9906498209.0
