row_label_raw,row_label_full,TÀISẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
A - TÀISẢN NGĂN HẠN,A - TÀISẢN NGĂN HẠN,A - TÀISẢN NGĂN HẠN,100,,1.284.434.210.751,1.753.561.852.568,100.0,,1284434210751.0,1753561852568.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,44.439.370.604,509.293.273.804,110.0,5.0,44439370604.0,509293273804.0
1. Tiền,1. Tiền,1. Tiền,111,,44.439.370.604,8.001.273.804,111.0,,44439370604.0,8001273804.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,-,501.292.000.000,112.0,,,501292000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,788.455.939.011,858.803.000.000,120.0,,788455939011.0,858803000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,6,788.455.939.011,858.803.000.000,123.0,6.0,788455939011.0,858803000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,26.919.397.652,49.211.998.612,130.0,,26919397652.0,49211998612.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,14.027.854.498,12.609.076.332,131.0,7.0,14027854498.0,12609076332.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,,2.938.500.000,21.757.460.000,132.0,,2938500000.0,21757460000.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,9.953.043.154,14.845.462.280,136.0,8.0,9953043154.0,14845462280.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,9,398.254.065.182,320.853.735.874,140.0,9.0,398254065182.0,320853735874.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,402.792.415.750,320.853.735.874,141.0,,402792415750.0,320853735874.0
