row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Đơn vị: VND Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VND Năm trước
III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu","1.Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu",31,-,315.000.000.000,31.0,,315000000000.0
"2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lạicổ phiếu đã phát hành","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lạicổ phiếu đã phát hành","2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lạicổ phiếu đã phát hành",32,-,(42.082.508.146),32.0,,-42082508146.0
3.Tiền trả nợ gốc vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.Tiền trả nợ gốc vay,3.Tiền trả nợ gốc vay,34,-,(75.000.000.000),34.0,,-75000000000.0
"4.Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4.Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,-,(107.896.940.440),36.0,,-107896940440.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,-,90.020.551.414,40.0,,90020551414.0
Lưu chuyển tiền thuần trong năm (\( 50 = 20+30+40 \)),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (\( 50 = 20+30+40 \)),Lưu chuyển tiền thuần trong năm (\( 50 = 20+30+40 \)),50,(464.853.320.614),(533.775.089.804),50.0,-464853320614.0,-533775089804.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,509.293.273.804,1.043.069.462.202,60.0,509293273804.0,1043069462202.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(582.586),(1.098.594),61.0,-582586.0,-1098594.0
Tiền và tương đương tiền cuối năm (\( 70 = 50+60+61 \)),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (\( 70 = 50+60+61 \)),Tiền và tương đương tiền cuối năm (\( 70 = 50+60+61 \)),70,44.439.370.604,509.293.273.804,70.0,44439370604.0,509293273804.0
