row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Số đầu năm trước,Số đầu năm trước,Số đầu năm trước,2.330.904.280.000,124.532.011.543,-,19.572.915.034,140.260.035.729,2.615.269.242.306,2330904280000.0,124532011543.0,,19572915034.0,140260035729.0,2615269242306.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,300.000.000.000,15.000.000.000,-,-,-,315.000.000.000,300000000000.0,15000000000.0,,,,315000000000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,116.536.350.000,-,-,-,(116.536.350.000),-,116536350000.0,,,,-116536350000.0,
(Tăng) cổ phiếu quỹ,(Tăng) cổ phiếu quỹ,(Tăng) cổ phiếu quỹ,-,-,(42.082.508.146),-,-,(42.082.508.146),,,-42082508146.0,,,-42082508146.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(107.896.940.440),(107.896.940.440),,,,,-107896940440.0,-107896940440.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,156.078.624.386,156.078.624.386,,,,,156078624386.0,156078624386.0
Giảm khác,Giảm khác,Giảm khác,-,(261.085.952),-,-,-,(261.085.952),,-261085952.0,,,,-261085952.0
Số đầu năm nay,Số đầu năm nay,Số đầu năm nay,2.747.440.630.000,139.270.925.591,(42.082.508.146),19.572.915.034,71.905.369.675,2.936.107.332.154,2747440630000.0,139270925591.0,-42082508146.0,19572915034.0,71905369675.0,2936107332154.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,31.319.208.041,31.319.208.041,,,,,31319208041.0,31319208041.0
Số cuối năm nay,Số cuối năm nay,Số cuối năm nay,2.747.440.630.000,139.270.925.591,(42.082.508.146),19.572.915.034,103.224.577.716,2.967.426.540.195,2747440630000.0,139270925591.0,-42082508146.0,19572915034.0,103224577716.0,2967426540195.0
