row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 - 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 - 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,44.439.370.604,-,44.439.370.604,44439370604.0,,44439370604.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,23.980.897.652,202.600.000.000,226.580.897.652,23980897652.0,202600000000.0,226580897652.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,788.455.939.011,-,788.455.939.011,788455939011.0,,788455939011.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,1.552.832.297.286,1.552.832.297.286,,1552832297286.0,1552832297286.0
Cộng,Cộng,Cộng,856.876.207.267,1.755.432.297.286,2.612.308.504.553,856876207267.0,1755432297286.0,2612308504553.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,48.471.864.210,-,48.471.864.210,48471864210.0,,48471864210.0
Công nợ tài chính khác,Số cuối năm > Công nợ tài chính khác,Công nợ tài chính khác,242.765.018,-,242.765.018,242765018.0,,242765018.0
Cộng,Số cuối năm > Cộng,Cộng,49.663.129.228,-,49.663.129.228,49663129228.0,,49663129228.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,807.213.078.039,1.755.432.297.286,2.562.645.375.325,807213078039.0,1755432297286.0,2562645375325.0
