row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,44.439.370.604,509.293.273.804,44439370604.0,509293273804.0
"Phải thu khách hàng, phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",226.580.897.652,27.454.538.612,226580897652.0,27454538612.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,788.455.939.011,858.803.000.000,788455939011.0,858803000000.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,1.552.832.297.286,1.247.652.152.163,1552832297286.0,1247652152163.0
Cộng,Tài sản tài chính > Cộng,Cộng,2.612.308.504.553,2.643.202.964.579,2612308504553.0,2643202964579.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,48.471.864.210,50.000.689.700,48471864210.0,50000689700.0
Công nợ tài chính khác,Công nợ tài chính > Công nợ tài chính khác,Công nợ tài chính khác,242.765.018,408.013.977,242765018.0,408013977.0
Cộng,Công nợ tài chính > Cộng,Cộng,49.663.129.228,50.408.703.677,49663129228.0,50408703677.0
