row_label_raw,row_label_full,Mẫu số B 09-DN
Ban hành theo thông tư số 202/2014/TT-BTC,Ban hành theo thông tư số 202/2014/TT-BTC,Ban hành theo thông tư số 202/2014/TT-BTC
ngày 22 tháng 12 năm 2014 của Bộ Tài Chính,ngày 22 tháng 12 năm 2014 của Bộ Tài Chính,ngày 22 tháng 12 năm 2014 của Bộ Tài Chính
