row_label_raw,row_label_full,Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,Năm nayVND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,Năm trướcVND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,numeric__Năm nayVND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,numeric__Năm trướcVND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,41.482.482.002,171.135.309.503,41482482002.0,171135309503.0
Hoạt động ưu đãi thuế,Hoạt động ưu đãi thuế,Hoạt động ưu đãi thuế,-,74.731.432.178,,74731432178.0
Hoạt động khác,Hoạt động khác,Hoạt động khác,41.482.482.002,96.403.877.325,41482482002.0,96403877325.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,6.775.318.215,(22.037.691.433),6775318215.0,-22037691433.0
Hoạt động ưu đãi thuế,Hoạt động ưu đãi thuế,Hoạt động ưu đãi thuế,-,1.349.043.293,,1349043293.0
Trừ: Hoàn nhập dự phòng,Trừ: Hoàn nhập dự phòng,Trừ: Hoàn nhập dự phòng,-,-,,
Cộng: Các khoản chi phí không được khấu trừ,Trừ: Hoàn nhập dự phòng > Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,-,1.349.043.293,,1349043293.0
Hoạt động khác,Trừ: Hoàn nhập dự phòng > Hoạt động khác,Hoạt động khác,6.775.318.215,(21.120.451.739),6775318215.0,-21120451739.0
Trừ: Thu nhập không chịu thuế,Trừ: Hoàn nhập dự phòng > Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,(2.362.843.443),(22.037.691.433),-2362843443.0,-22037691433.0
Cộng: Các khoản chi phí không được khấu trừ,Trừ: Hoàn nhập dự phòng > Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,9.138.161.658,917.239.694,9138161658.0,917239694.0
Thu nhập chịu thuế,Trừ: Hoàn nhập dự phòng > Thu nhập chịu thuế,Thu nhập chịu thuế,48.257.800.217,150.932.097.458,48257800217.0,150932097458.0
Hoạt động ưu đãi thuế,Trừ: Hoàn nhập dự phòng > Hoạt động ưu đãi thuế,Hoạt động ưu đãi thuế,-,76.080.475.471,,76080475471.0
Hoạt động khác,Trừ: Hoàn nhập dự phòng > Hoạt động khác,Hoạt động khác,48.257.800.217,75.283.425.586,48257800217.0,75283425586.0
Thuế suất thông thường,Trừ: Hoàn nhập dự phòng > Thuế suất thông thường,Thuế suất thông thường,20%,20%,0.2,0.2
Thuế thu nhập doanh nghiệp,Trừ: Hoàn nhập dự phòng > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.651.560.043,30.186.419.491,9651560043.0,30186419491.0
Hoạt động ưu đãi thuế,Trừ: Hoàn nhập dự phòng > Hoạt động ưu đãi thuế,Hoạt động ưu đãi thuế,-,15.129.734.374,,15129734374.0
Hoạt động khác,Trừ: Hoàn nhập dự phòng > Hoạt động khác,Hoạt động khác,9.651.560.043,15.056.685.117,9651560043.0,15056685117.0
Miễn thuế theo ưu đãi,Trừ: Hoàn nhập dự phòng > Miễn thuế theo ưu đãi,Miễn thuế theo ưu đãi,-,(15.129.734.374),,-15129734374.0
Chi phí thuế thu nhập hiện hành năm nay,Trừ: Hoàn nhập dự phòng > Chi phí thuế thu nhập hiện hành năm nay,Chi phí thuế thu nhập hiện hành năm nay,9.651.560.043,15.056.685.117,9651560043.0,15056685117.0
Chi phí thuế thu nhập hiện hành năm trước,Trừ: Hoàn nhập dự phòng > Chi phí thuế thu nhập hiện hành năm trước,Chi phí thuế thu nhập hiện hành năm trước,511.713.918,-,511713918.0,
Chi phí thuế thu nhập hiện hành,Trừ: Hoàn nhập dự phòng > Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành,10.163.273.961,15.056.685.117,10163273961.0,15056685117.0
