row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Quỹ khác thuộc Vốn chủ sở hữu,Vốn khác,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Vốn chủ sở hữu,numeric__Vốn khác,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,40.220.180,14.292.382,3.688.308,1.949.663,90.900,26.539,267.851,129.783,13.856.938,3.130.437,77.652.981,40220180.0,14292382.0,3688308.0,1949663.0,90900.0,26539.0,267851.0,129783.0,13856938.0,3130437.0,77652981.0
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,-,-,-,-,-,6.996.622,226.943,7.223.565,,,,,,,,,6996622.0,226943.0,7223565.0
- Trích quỹ trong năm,- Trích quỹ trong năm,- Trích quỹ trong năm,-,-,1.505.012,769.103,27.845,7.532,-,-,(2.309.492),-,-,,,1505012.0,769103.0,27845.0,7532.0,,,-2309492.0,,
- Sử dụng quỹ trong năm,- Sử dụng quỹ trong năm,- Sử dụng quỹ trong năm,-,-,(198),-,-,-,-,-,-,-,(198),,,-198.0,,,,,,,,-198.0
- Tạm trích Quỹ Khen thưởng phúc lợi 2020,- Tạm trích Quỹ Khen thưởng phúc lợi 2020,- Tạm trích Quỹ Khen thưởng phúc lợi 2020,-,-,-,-,-,-,-,-,(1.175.000),-,(1.175.000),,,,,,,,,-1175000.0,,-1175000.0
- Trích bổ sung Quỹ Khen thưởng phúc lợi 2018 - 2019,- Trích bổ sung Quỹ Khen thưởng phúc lợi 2018 - 2019,- Trích bổ sung Quỹ Khen thưởng phúc lợi 2018 - 2019,-,-,-,-,-,-,-,-,(715.038),(19.074),(734.112),,,,,,,,,-715038.0,-19074.0,-734112.0
- Quyết định trả cổ tức trong năm (xem thuyết minh số 25.2),- Quyết định trả cổ tức trong năm (xem thuyết minh số 25.2),- Quyết định trả cổ tức trong năm (xem thuyết minh số 25.2),-,-,-,-,-,-,-,-,(3.217.614),(63.237),(3.280.851),,,,,,,,,-3217614.0,-63237.0,-3280851.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con,-,-,-,-,-,-,-,(79.868),(25),(35.849),(115.742),,,,,,,,-79868.0,-25.0,-35849.0,-115742.0
- Tăng/(giảm) khác,- Tăng/(giảm) khác,- Tăng/(giảm) khác,-,-,-,-,-,(423),-,-,81.017,(4.625),75.969,,,,,,-423.0,,,81017.0,-4625.0,75969.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,40.220.180,14.292.382,5.193.122,2.718.766,118.745,33.648,267.851,49.915,13.517.408,3.234.595,79.646.612,40220180.0,14292382.0,5193122.0,2718766.0,118745.0,33648.0,267851.0,49915.0,13517408.0,3234595.0,79646612.0
