row_label_raw,row_label_full,Bên liên quan,Số dư,Phải thu,(Phải trả),numeric__Số dư,numeric__Phải thu,numeric__(Phải trả)
,,,,Triệu VND,Triệu VND,,,
Cơ quan quản lý,Cơ quan quản lý,Cơ quan quản lý,Tiền gửi của BIDV tại đại diện chủ sở hữu,45.574.334,-,,45574334.0,
Cơ quan quản lý,Cơ quan quản lý,Cơ quan quản lý,Các khoản vay của BIDV từ đại diện chủ,-,(6.146.692),,,-6146692.0
Bên liên quan của chủ sở hữu (BTC và Kho bạc,Bên liên quan của chủ sở hữu (BTC và Kho bạc,Bên liên quan của chủ sở hữu (BTC và Kho bạc,Tiền gửi của bên liên quan của chủ sở hữu tại BIDV,-,(9.932.347),,,-9932347.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Tiền gửi tại BIDV của cổ đông chiến lược,-,(44.307),,,-44307.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Tiền gửi của BIDV tại cổ đông chiến lược,1.049.382,-,,1049382.0,
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền gửi của các công ty liên doanh,-,(2.803.990),,,-2803990.0
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền gửi của BIDV tại các công ty liên doanh,968.698,-,,968698.0,
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền vay từ BIDV của các công ty liên doanh,403.374,-,,403374.0,
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Tiền gửi tại BIDV của các công ty liên kết,-,(831.003),,,-831003.0
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Tiền vay từ BIDV của các công ty liên kết,512.527,-,,512527.0,
