row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Quá hạn_3,Quá hạn_4,Trong hạn,Trong hạn_1,Tổng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Quá hạn_3,numeric__Quá hạn_4,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Tổng
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 -12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,12.294.193,-,-,-,-,12.294.193,,,12294193.0,,,,,12294193.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,49.432.144,-,-,-,-,49.432.144,,,49432144.0,,,,,49432144.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),1.023,-,37.763.526,14.823.792,3.674.362,6.257.501,22.966.480,85.486.684,1023.0,,37763526.0,14823792.0,3674362.0,6257501.0,22966480.0,85486684.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,786.977,9.353.354,-,44.105,10.184.436,,,,786977.0,9353354.0,,44105.0,10184436.0
Công cụ tài chính và tài sản tài chính phải sinh khác (*),Tài sản > Công cụ tài chính và tài sản tài chính phải sinh khác (*),Công cụ tài chính và tài sản tài chính phải sinh khác (*),-,-,2.022,31.233,132.101,2.577,-,167.933,,,2022.0,31233.0,132101.0,2577.0,,167933.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),14.175.442,3.835.244,87.537.493,230.365.574,450.926.970,221.207.604,206.247.590,1.214.295.917,14175442.0,3835244.0,87537493.0,230365574.0,450926970.0,221207604.0,206247590.0,1214295917.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),366.000,583.000,667.436,8.708.923,31.884.382,30.070.593,53.413.321,125.693.655,366000.0,583000.0,667436.0,8708923.0,31884382.0,30070593.0,53413321.0,125693655.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,2.858.944,2.858.944,,,,,,,2858944.0,2858944.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,12.521,10.409.600,10.422.121,,,,,,12521.0,10409600.0,10422121.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),614.430,-,3.965.695,4.199.961,11.462.578,3.043.893,3.064.072,26.350.629,614430.0,,3965695.0,4199961.0,11462578.0,3043893.0,3064072.0,26350629.0
