row_label_raw,row_label_full,STT CHỈ TIÊU,STT CHỈ TIÊU_1,Thuyết minh,Số cuối năm,Số đầu năm,numeric__STT CHỈ TIÊU_1,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
1.,1.,1.,Bảo lãnh vay vốn,39,4.085.698,5.353.955,,39.0,4085698.0,5353955.0
2.,2.,2.,Cam kết giao dịch hồi đoái,39,2.723.799,3.274.646,,39.0,2723799.0,3274646.0
a.,a.,a.,Cam kết mua ngoại tệ,,1.581.271,1.647.813,,,1581271.0,1647813.0
b.,b.,b.,Cam kết bán ngoại tệ,,1.142.528,1.626.833,,,1142528.0,1626833.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,39,79.827.911,68.683.562,,39.0,79827911.0,68683562.0
4.,4.,4.,Bảo lãnh khác,39,155.955.887,145.684.887,,39.0,155955887.0,145684887.0
5.,5.,5.,Cam kết khác,39,12.696.460,8.771.607,,39.0,12696460.0,8771607.0
