row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,18,17.222.797,108.760.008,,18.0,17222797.0,108760008.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,19,82.260.848,76.683.179,,19.0,82260848.0,76683179.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,40.828.386,28.904.853,,,40828386.0,28904853.0
2.,B. > 2.,2.,Vay các TCTD khác,,41.432.462,47.778.326,,,41432462.0,47778326.0
III.,B. > III.,III.,Tiền gửi của khách hàng,20,1.226.673.942,1.114.162.624,,20.0,1226673942.0,1114162624.0
IV.,B. > IV.,IV.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",21,12.853.270,12.386.421,,21.0,12853270.0,12386421.0
V.,B. > V.,V.,Phát hành giấy tờ có giá,22,63.236.692,62.772.362,,22.0,63236692.0,62772362.0
VI.,B. > VI.,VI.,Các khoản nợ khác,23,34.791.551,37.539.718,,23.0,34791551.0,37539718.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,22.428.269,24.695.986,,,22428269.0,24695986.0
2.,B. > 2.,2.,Thuế TNDN hoãn lại phải trả,,113.813,111.935,,,113813.0,111935.0
3.,B. > 3.,3.,Các khoản phải trả và công nợ khác,,12.249.469,12.731.797,,,12249469.0,12731797.0
,,,TỔNG NỘ PHẢI TRẢ,,1.437.039.100,1.412.304.312,,,1437039100.0,1412304312.0
VII.,B. > VII.,VII.,Vốn và các quỹ,25,,,,25.0,,
1.,B. > 1.,1.,Vốn của Ngân hàng,,54.780.413,54.780.413,,,54780413.0,54780413.0
a.,B. > a.,a.,Vốn điều lệ,,40.220.180,40.220.180,,,40220180.0,40220180.0
b.,B. > b.,b.,Thống dư vốn cổ phần,,14.292.382,14.292.382,,,14292382.0,14292382.0
c.,B. > c.,c.,Vốn khác,,267.851,267.851,,,267851.0,267851.0
2.,B. > 2.,2.,Quỹ của Ngân hàng,,8.064.281,5.755.410,,,8064281.0,5755410.0
3.,B. > 3.,3.,Chênh lệch tỷ giá hối đoái,,49.915,129.783,,,49915.0,129783.0
4.,B. > 4.,4.,Lợi nhuận chưa phân phối,,13.517.408,13.856.938,,,13517408.0,13856938.0
5.,B. > 5.,5.,Lợi ích cổ đông không kiểm soát,,3.234.595,3.130.437,,,3234595.0,3130437.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,79.646.612,77.652.981,,,79646612.0,77652981.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.516.685.712,1.489.957.293,,,1516685712.0,1489957293.0
