row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,26,100.687.502,100.747.225,,26.0,100687502.0,100747225.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,27,(64.890.703),(64.769.417),,27.0,-64890703.0,-64769417.0
I,I,I,Thu nhập lãi thuần,,35.796.799,35.977.808,,,35796799.0,35977808.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,8.618.090,7.871.837,,,8618090.0,7871837.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(3.351.709),(3.605.506),,,-3351709.0,-3605506.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,28,5.266.381,4.266.331,,28.0,5266381.0,4266331.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,29,1.732.324,1.494.696,,29.0,1732324.0,1494696.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,30.1,478.668,325.524,,301.0,478668.0,325524.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,30.2,1.516.137,481.222,,302.0,1516137.0,481222.0
V,V,V,Lãi thuần từ mua bán chứng khoán,,1.994.805,806.746,,,1994805.0,806746.0
5.,5.,5.,Thu nhập từ hoạt động khác,,7.992.789,6.517.869,,,7992789.0,6517869.0
6.,6.,6.,Chi phí từ hoạt động khác,,(2.900.221),(1.156.695),,,-2900221.0,-1156695.0
VI,VI,VI,Lãi thuần từ hoạt động khác,31,5.092.568,5.361.174,,31.0,5092568.0,5361174.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",32,154.267,214.485,,32.0,154267.0,214485.0
VII,VII,VII,Tổng thu nhập hoạt động,,50.037.144,48.121.240,,,50037144.0,48121240.0
7.,7.,7.,Chi phí nhân viên,,(10.117.321),(9.722.449),,,-10117321.0,-9722449.0
8.,8.,8.,Chi phí khấu hao và khấu trừ,,(980.093),(1.023.773),,,-980093.0,-1023773.0
9.,9.,9.,Chi phí hoạt động khác,,(6.595.546),(6.510.893),,,-6595546.0,-6510893.0
VIII,VIII,VIII,Tổng chi phí hoạt động,33,(17.692.960),(17.257.115),,33.0,-17692960.0,-17257115.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,32.344.184,30.864.125,,,32344184.0,30864125.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,"9, 13, 14.6",(23.317.941),(20.131.916),,,-23317941.0,-20131916.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,9.026.243,10.732.209,,,9026243.0,10732209.0
10.,10.,10.,Chi phí thuế TNDN hiện hành,,(1.799.378),(2.162.657),,,-1799378.0,-2162657.0
11.,11.,11.,Chi phí thuế TNDN hoãn lại,,(3.300),(21.795),,,-3300.0,-21795.0
XII,XII,XII,Chi phí thuế TNDN,34,(1.802.678),(2.184.452),,34.0,-1802678.0,-2184452.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,7.223.565,8.547.757,,,7223565.0,8547757.0
XIII,XIII,XIII,Phân bổ (lãi) cho cổ đông không kiểm soát,,(226.943),(179.266),,,-226943.0,-179266.0
XIII,XIII,XIII,Lợi nhuận thuần của Ngân hàng mẹ,,6.996.622,8.368.491,,,6996622.0,8368491.0
XIII,XIII,XIII,Lãi cơ bản trên mỗi cổ phiếu (đồng/cổ phiếu),35,1.447,1.869,,35.0,1447.0,1869.0
