row_label_raw,row_label_full,Quá hạn,Không chịu rule ro lãi suất do định giá lại,Kỳ thay đổi lãi suất,Kỳ thay đổi lãi suất_1,Kỳ thay đổi lãi suất_2,Kỳ thay đổi lãi suất_3,Kỳ thay đổi lãi suất_4,Kỳ thay đổi lãi suất_5,Tổng,numeric__Không chịu rule ro lãi suất do định giá lại,numeric__Kỳ thay đổi lãi suất,numeric__Kỳ thay đổi lãi suất_1,numeric__Kỳ thay đổi lãi suất_2,numeric__Kỳ thay đổi lãi suất_3,numeric__Kỳ thay đổi lãi suất_4,numeric__Kỳ thay đổi lãi suất_5,numeric__Tổng
Quá hạn,Quá hạn,Quá hạn,Không chịu rule ro lãi suất do định giá lại,Đến 1 tháng,Từ 1-3 tháng,Từ 3-6 tháng,Từ 6 -12 tháng,Từ 1-5 năm,Trên 5 năm,Tổng,,,,,,,,
Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
-,Triệu VND > -,-,12.294.193,-,-,-,-,-,-,12.294.193,12294193.0,,,,,,,12294193.0
-,Triệu VND > -,-,24.164.392,25.267.752,-,-,-,-,-,49.432.144,24164392.0,25267752.0,,,,,,49432144.0
1.023,Triệu VND > 1.023,1.023,1.911.058,59.425.268,21.518.656,1.291.772,1.211.112,126.241,1.554,85.486.684,1911058.0,59425268.0,21518656.0,1291772.0,1211112.0,126241.0,1554.0,85486684.0
-,Triệu VND > -,-,1.060.296,-,121.876,2.862.464,6.139.800,-,-,10.184.436,1060296.0,,121876.0,2862464.0,6139800.0,,,10184436.0
-,Triệu VND > -,-,-,13.879,32.488,82.343,34.543,4.680,-,167.933,,13879.0,32488.0,82343.0,34543.0,4680.0,,167933.0
18.010.686,Triệu VND > 18.010.686,18.010.686,-,285.987.277,398.142.506,351.625.189,130.287.870,20.389.462,9.852.927,1.214.295.917,,285987277.0,398142506.0,351625189.0,130287870.0,20389462.0,9852927.0,1214295917.0
949.000,Triệu VND > 949.000,949.000,121.913,1.235.216,11.512.830,20.231.418,15.543.384,25.211.902,50.887.992,125.693.655,121913.0,1235216.0,11512830.0,20231418.0,15543384.0,25211902.0,50887992.0,125693655.0
-,Triệu VND > -,-,2.858.944,-,-,-,-,-,-,2.858.944,2858944.0,,,,,,,2858944.0
-,Triệu VND > -,-,10.422.121,-,-,-,-,-,-,10.422.121,10422121.0,,,,,,,10422121.0
614.430,Triệu VND > 614.430,614.430,25.736.199,-,-,-,-,-,-,26.350.629,25736199.0,,,,,,,26350629.0
19.575.139,Triệu VND > 19.575.139,19.575.139,78.569.116,371.929.392,431.328.356,376.093.186,153.216.709,45.732.285,60.742.473,1.537.186.656,78569116.0,371929392.0,431328356.0,376093186.0,153216709.0,45732285.0,60742473.0,1537186656.0
-,Triệu VND > -,-,4.238.721,47.709.645,13.101.065,30.330.011,2.259.730,1.231.506,612.967,99.483.645,4238721.0,47709645.0,13101065.0,30330011.0,2259730.0,1231506.0,612967.0,99483645.0
-,Triệu VND > -,-,3.965.962,447.873.215,254.551.081,217.526.956,280.886.990,21.853.058,16.680,1.226.673.942,3965962.0,447873215.0,254551081.0,217526956.0,280886990.0,21853058.0,16680.0,1226673942.0
-,Triệu VND > -,-,-,47.119,9.658.452,665.811,354.465,2.078.761,48.662,12.853.270,,47119.0,9658452.0,665811.0,354465.0,2078761.0,48662.0,12853270.0
-,Triệu VND > -,-,-,2.686.251,5.066.526,20.299.468,28.407.420,2.589.925,4.187.102,63.236.692,,2686251.0,5066526.0,20299468.0,28407420.0,2589925.0,4187102.0,63236692.0
-,Triệu VND > -,-,34.791.551,-,-,-,-,-,-,34.791.551,34791551.0,,,,,,,34791551.0
-,Triệu VND > -,-,42.996.234,498.316.230,282.377.124,268.822.246,311.908.605,27.753.250,4.865.411,1.437.039.100,42996234.0,498316230.0,282377124.0,268822246.0,311908605.0,27753250.0,4865411.0,1437039100.0
19.575.139,Triệu VND > 19.575.139,19.575.139,35.572.882,(126.386.838),148.951.232,107.270.940,(158.691.896),17.979.035,55.877.062,100.147.556,35572882.0,-126386838.0,148951232.0,107270940.0,-158691896.0,17979035.0,55877062.0,100147556.0
-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
19.575.139,- > 19.575.139,19.575.139,35.572.882,(126.386.838),148.951.232,107.270.940,(158.691.896),17.979.035,55.877.062,100.147.556,35572882.0,-126386838.0,148951232.0,107270940.0,-158691896.0,17979035.0,55877062.0,100147556.0
