row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.246.751,1.606.808,12.557,5.866.116,4246751.0,1606808.0,12557.0,5866116.0
Mua trong năm,Nguyên giá TSCĐ vô hình > Mua trong năm,Mua trong năm,98.810,40.747,-,139.557,98810.0,40747.0,,139557.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(407),-,(407),,-407.0,,-407.0
Tăng/(Giảm) khác,Nguyên giá TSCĐ vô hình > Tăng/(Giảm) khác,Tăng/(Giảm) khác,(5.456),7.681,(147),2.078,-5456.0,7681.0,-147.0,2078.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.340.105,1.654.829,12.410,6.007.344,4340105.0,1654829.0,12410.0,6007344.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,326.311,1.226.233,3.405,1.555.949,326311.0,1226233.0,3405.0,1555949.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,37.551,155.394,2.630,195.575,37551.0,155394.0,2630.0,195575.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(407),-,(407),,-407.0,,-407.0
Tăng/ (giảm) khác,Giá trị hao mòn lũy kế > Tăng/ (giảm) khác,Tăng/ (giảm) khác,780,(4.360),16,(3.564),780.0,-4360.0,16.0,-3564.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,364.642,1.376.860,6.051,1.747.553,364642.0,1376860.0,6051.0,1747553.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,3.920.440,380.575,9.152,4.310.167,3920440.0,380575.0,9152.0,4310167.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,3.975.463,277.969,6.359,4.259.791,3975463.0,277969.0,6359.0,4259791.0
