row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",6,12.294.193,14.116.720,,6.0,12294193.0,14116720.0
II.,A > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",7,49.432.144,135.255.429,,7.0,49432144.0,135255429.0
III.,A > III.,III.,Tiền gửi và cho vay các TCTD khác,8,85.347.858,54.290.180,,8.0,85347858.0,54290180.0
1.,A > 1.,1.,Tiền gửi tại TCTD khác,,62.191.227,43.718.603,,,62191227.0,43718603.0
2.,A > 2.,2.,Cho vay các TCTD khác,,23.295.457,10.717.769,,,23295457.0,10717769.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi tại và cho vay các TCTD khác,9,(138.826),(146.192),,9.0,-138826.0,-146192.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,10,10.169.711,6.346.190,,10.0,10169711.0,6346190.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,10.184.436,6.380.379,,,10184436.0,6380379.0
2.,A > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(14.725),(34.189),,,-14725.0,-34189.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,11,167.933,92.130,,11.0,167933.0,92130.0
VI.,A > VI.,VI.,Cho vay khách hàng,,1.195.239.968,1.102.365.849,,,1195239968.0,1102365849.0
1.,A > 1.,1.,Cho vay khách hàng,12,1.214.295.916,1.116.997.985,,12.0,1214295916.0,1116997985.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,13,(19.055.948),(14.632.136),,13.0,-19055948.0,-14632136.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,14,125.114.962,138.284.421,,14.0,125114962.0,138284421.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,112.192.338,121.819.089,,,112192338.0,121819089.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,13.501.317,23.262.431,,,13501317.0,23262431.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(578.693),(6.797.099),,,-578693.0,-6797099.0
VIII.,A > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",15,2.760.622,2.737.661,,15.0,2760622.0,2737661.0
1.,A > 1.,1.,Vốn góp liên doanh,15.1,2.039.869,2.020.226,,151.0,2039869.0,2020226.0
2.,A > 2.,2.,Đầu tư vào công ty liên kết,15.2,603.605,605.550,,152.0,603605.0,605550.0
3.,A > 3.,3.,"Góp vốn, đầu tư dài hạn khác",,215.470,214.679,,,215470.0,214679.0
4.,A > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,15.3,(98.322),(102.794),,153.0,-98322.0,-102794.0
IX.,A > IX.,IX.,Tài sản cố định,16,10.422.121,10.604.686,,16.0,10422121.0,10604686.0
1.,A > 1.,1.,Tài sản cố định hữu hình,16.1,6.162.330,6.294.519,,161.0,6162330.0,6294519.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,13.353.310,12.784.828,,,13353310.0,12784828.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(7.190.980),(6.490.309),,,-7190980.0,-6490309.0
2.,A > 2.,2.,Tài sản cố định vô hình,"16,2",4.259.791,4.310.167,,16.2,4259791.0,4310167.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,6.007.344,5.866.116,,,6007344.0,5866116.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(1.747.553),(1.555.949),,,-1747553.0,-1555949.0
X.,A > X.,X.,Tài sản Có khác,17,25.736.200,25.864.027,,17.0,25736200.0,25864027.0
1.,A > 1.,1.,Các khoản phải thu,,9.784.393,9.159.704,,,9784393.0,9159704.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,12.821.354,12.846.132,,,12821354.0,12846132.0
3.,A > 3.,3.,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,37.087,38.579,,,37087.0,38579.0
4.,A > 4.,4.,Tài sản Có khác,,3.707.796,4.460.435,,,3707796.0,4460435.0
5.,A > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bảng,,(614.430),(640.823),,,-614430.0,-640823.0
,,,TỔNG TÀI SẢN,,1.516.685.712,1.489.957.293,,,1516685712.0,1489957293.0
