row_label_raw,row_label_full,col_0,Ngân hàng,Cho thuê tài chính,Bảo hiểm,Chứng khoán,Khác,Loại trừ,Tổng cộng,numeric__Ngân hàng,numeric__Cho thuê tài chính,numeric__Bảo hiểm,numeric__Chứng khoán,numeric__Khác,numeric__Loại trừ,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,35.191.072,110.474,269.551,122.921,6.816,95.965,35.796.799,35191072.0,110474.0,269551.0,122921.0,6816.0,95965.0,35796799.0
- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,35.194.206,110.474,269.551,122.921,6.816,92.831,35.796.799,35194206.0,110474.0,269551.0,122921.0,6816.0,92831.0,35796799.0
- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,(3.134),-,-,-,-,3.134,-,-3134.0,,,,,3134.0,
Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,4.613.530,51,555.936,159.423,9.074,(71.633),5.266.381,4613530.0,51.0,555936.0,159423.0,9074.0,-71633.0,5266381.0
- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,4.546.560,51,555.936,159.423,9.074,(4.663),5.266.381,4546560.0,51.0,555936.0,159423.0,9074.0,-4663.0,5266381.0
- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,66.970,-,-,-,-,(66.970),-,66970.0,,,,,-66970.0,
Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,1.728.929,-,3.395,-,-,-,1.732.324,1728929.0,,3395.0,,,,1732324.0
Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,1.911.074,-,9.521,70.384,-,3.826,1.994.805,1911074.0,,9521.0,70384.0,,3826.0,1994805.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,5.168.327,2.078,581,(1.841),42,(76.619),5.092.568,5168327.0,2078.0,581.0,-1841.0,42.0,-76619.0,5092568.0
"Thu nhập từ góp vốn, mua cố phần","Thu nhập từ góp vốn, mua cố phần","Thu nhập từ góp vốn, mua cố phần",178.810,-,9.798,8.664,-,(43.005),154.267,178810.0,,9798.0,8664.0,,-43005.0,154267.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,48.791.742,112.603,848.782,359.551,15.932,(91.466),50.037.144,48791742.0,112603.0,848782.0,359551.0,15932.0,-91466.0,50037144.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,(9.694.572),(44.493),(258.047),(138.681),(11.058),29.530,(10.117.321),-9694572.0,-44493.0,-258047.0,-138681.0,-11058.0,29530.0,-10117321.0
Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,(965.951),(923),(5.979),(7.213),(27),-,(980.093),-965951.0,-923.0,-5979.0,-7213.0,-27.0,,-980093.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(6.394.319),(27.532),(192.321),(46.973),(3.832),69.431,(6.595.546),-6394319.0,-27532.0,-192321.0,-46973.0,-3832.0,69431.0,-6595546.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(17.054.842),(72.948),(456.347),(192.867),(14.917),98.961,(17.692.960),-17054842.0,-72948.0,-456347.0,-192867.0,-14917.0,98961.0,-17692960.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,31.736.900,39.655,392.435,166.684,1.015,7.495,32.344.184,31736900.0,39655.0,392435.0,166684.0,1015.0,7495.0,32344184.0
