row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị, dụng cụquản lý",TSCĐ khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị, dụng cụquản lý",numeric__TSCĐ khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,6.616.633,4.514.951,1.354.930,176.674,121.640,12.784.828,6616633.0,4514951.0,1354930.0,176674.0,121640.0,12784828.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,46.800,157.024,115.831,18.830,9.018,347.503,46800.0,157024.0,115831.0,18830.0,9018.0,347503.0
Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,191.811,66.031,14.982,6.740,2.413,281.977,191811.0,66031.0,14982.0,6740.0,2413.0,281977.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.934),(39.742),(36.253),(4.408),(4.445),(91.782),-6934.0,-39742.0,-36253.0,-4408.0,-4445.0,-91782.0
Tăng/(Giảm) khác,Nguyên giá TSCĐ hữu hình > Tăng/(Giảm) khác,Tăng/(Giảm) khác,39.723,(6.300),1.405,(4.158),114,30.784,39723.0,-6300.0,1405.0,-4158.0,114.0,30784.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,6.888.033,4.691.964,1.450.895,193.678,128.740,13.353.310,6888033.0,4691964.0,1450895.0,193678.0,128740.0,13353310.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.968.697,3.346.209,947.724,135.909,91.770,6.490.309,1968697.0,3346209.0,947724.0,135909.0,91770.0,6490309.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,298.244,339.240,106.203,26.287,14.544,784.518,298244.0,339240.0,106203.0,26287.0,14544.0,784518.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.587),(38.325),(36.064),(4.123),(4.368),(89.467),-6587.0,-38325.0,-36064.0,-4123.0,-4368.0,-89467.0
Tăng/(Giảm) khác,Giá trị hao mòn lũy kế > Tăng/(Giảm) khác,Tăng/(Giảm) khác,(4.717),9.569,2.165,(2.404),1.007,5.620,-4717.0,9569.0,2165.0,-2404.0,1007.0,5620.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.255.637,3.656.693,1.020.028,155.669,102.953,7.190.980,2255637.0,3656693.0,1020028.0,155669.0,102953.0,7190980.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,4.647.936,1.168.742,407.206,40.765,29.870,6.294.519,4647936.0,1168742.0,407206.0,40765.0,29870.0,6294519.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,4.632.396,1.035.271,430.867,38.009,25.787,6.162.330,4632396.0,1035271.0,430867.0,38009.0,25787.0,6162330.0
