row_label_raw,row_label_full,Công ty liên kết,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021_1,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020_1,numeric__Hoạt động chính,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Tại ngày 31 tháng 12 năm 2021,numeric__Tại ngày 31 tháng 12 năm 2021_1,numeric__Tại ngày 31 tháng 12 năm 2020,numeric__Tại ngày 31 tháng 12 năm 2020_1
Công ty liên kết,Công ty liên kết,Công ty liên kết,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Quyền sở hữu,Quyền biểu quyết,Quyền sở hữu,Quyền biểu quyết,,,,,,
Công ty Cổ phầnBán lẻKỹ thuật số FPT,Công ty liên kết > Công ty Cổ phầnBán lẻKỹ thuật số FPT,Công ty Cổ phầnBán lẻKỹ thuật số FPT,"Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông; đại lý dịch vụ viễn thông","Số 261 - 263Khánh Hội, Phường 2, Quận 4, TP. Hồ Chí Minh","46,53%","46,53%","46,53%","46,53%",,,0.4653,0.4653,0.4653,0.4653
Công ty Cổ phầnSynnex FPT,Công ty liên kết > Công ty Cổ phầnSynnex FPT,Công ty Cổ phầnSynnex FPT,"Sản xuất các sản phẩm công nghệ và phân phối các linh kiện CNTT và điện thoại di động, chế tạo máy tính","Số 17 phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",48%,48%,48%,48%,,,0.48,0.48,0.48,0.48
