row_label_raw,row_label_full,STT,Họ và tên,Chức danh,2021 VND,2020 VND,numeric__Họ và tên,numeric__Chức danh,numeric__2021 VND,numeric__2020 VND
,,,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,,,,
1,1,1,Ông Trương Gia Bình,Chủ tịch,-,-,,,,
2,2,2,Ông Bùi Quang Ngọc,Phó Chủ tịch,-,-,,,,
3,3,3,Ông Đỗ Cao Bảo,Ủy viên,-,-,,,,
4,3 > 4,4,Ông Lê Song Lai,Ủy viên,264.000.000,264.000.000,,,264000000.0,264000000.0
5,3 > 5,5,Ông Jean Charles,Ủy viên,600.000.000,600.000.000,,,600000000.0,600000000.0
6,3 > 6,6,Ông Hamaguchi Tomokazu,Ủy viên,2.292.000.000,2.326.425.000,,,2292000000.0,2326425000.0
7,3 > 7,7,Ông Dan E Khoo,Ủy viên,2.292.000.000,2.326.425.000,,,2292000000.0,2326425000.0
,,,,,5.448.000.000,5.516.850.000,,,5448000000.0,5516850000.0
,,,Thù lao thành viên Ban Kiểm soát,Thù lao thành viên Ban Kiểm soát,Thù lao thành viên Ban Kiểm soát,Thù lao thành viên Ban Kiểm soát,,,,
1,3 > 1,1,Ông Nguyễn Việt Thắng,Trường ban,614.400.000,588.000.000,,,614400000.0,588000000.0
2,3 > 2,2,Ông Nguyễn Khải Hoàn,Thành viên,316.800.000,303.600.000,,,316800000.0,303600000.0
3,3 > 3,3,Bà Nguyễn Thị Kim Anh,Thành viên,316.800.000,303.600.000,,,316800000.0,303600000.0
,,,,,1.248.000.000,1.195.200.000,,,1248000000.0,1195200000.0
,,,Tiền lương của Tổng Giám đốc và người quản lý khác,Tiền lương của Tổng Giám đốc và người quản lý khác,Tiền lương của Tổng Giám đốc và người quản lý khác,Tiền lương của Tổng Giám đốc và người quản lý khác,,,,
1,3 > 1,1,Ông Nguyễn Văn Khoa,Tổng Giám đốc,3.776.000.000,3.520.000.000,,,3776000000.0,3520000000.0
2,3 > 2,2,Ông Nguyễn Thế Phương,Phó Tổng Giám đốc,3.000.000.000,2.750.000.000,,,3000000000.0,2750000000.0
3,3 > 3,3,Ông Hoàng Việt Anh,Phó Tổng Giám đốc,2.400.000.000,2.200.000.000,,,2400000000.0,2200000000.0
4,3 > 4,4,Ông Hoàng Hữu Chiến,Kế toán trưởng,1.680.000.000,1.540.000.000,,,1680000000.0,1540000000.0
5,3 > 5,5,Bà Bùi Nguyễn Phương Châu,Phụ trách Quản trị & Công bố thông tin,500.000.000,1.100.000.000,,,500000000.0,1100000000.0
6,3 > 6,6,Ông Dương Hoàng Phú,Phụ trách Công bố thông tin,330.000.000,-,,,330000000.0,
,,,,,11.686.000.000,11.110.000.000,,,11686000000.0,11110000000.0
