row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2021VND,Số phát sinhtrong nămVND,Số thực nộptrong nămVND,Phânloại lạiVND,Tại ngày31.12.2021VND,numeric__col_1,numeric__Tại ngày1.1.2021VND,numeric__Số phát sinhtrong nămVND,numeric__Số thực nộptrong nămVND,numeric__Phânloại lạiVND,numeric__Tại ngày31.12.2021VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế TNDN,-,-,-,4.022.060.681,4.022.060.681,,,,,4022060681.0,4022060681.0
(a),(a) > (a),(a),Khác,34.802.628,-,-,-,34.802.628,,34802628.0,,,,34802628.0
(a),(a) > (a),(a),,34.802.628,-,-,4.022.060.681,4.056.863.309,,34802628.0,,,4022060681.0,4056863309.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Thuế giá trị gia tăng,2.293.172,61.952.089.609,(61.952.089.609),-,2.293.172,,2293172.0,61952089609.0,-61952089609.0,,2293172.0
(b),(b) > (b),(b),Thuế TNDN,3.112.897.645,45.041.674,(7.180.000.000),4.022.060.681,-,,3112897645.0,45041674.0,-7180000000.0,4022060681.0,
(b),(b) > (b),(b),Thuế thu nhập cá nhân,1.188.104.130,46.765.198.116,(46.757.980.228),-,1.195.322.018,,1188104130.0,46765198116.0,-46757980228.0,,1195322018.0
(b),(b) > (b),(b),Khác,53.927.292,27.071.897.343,(27.039.211.438),-,86.613.197,,53927292.0,27071897343.0,-27039211438.0,,86613197.0
(b),(b) > (b),(b),,4.357.222.239,135.834.226.742,(142.929.281.275),4.022.060.681,1.284.228.387,,4357222239.0,135834226742.0,-142929281275.0,4022060681.0,1284228387.0
