row_label_raw,row_label_full,THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2021,THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2021_1,THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2021_2,THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2021_3,THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2021_4,THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2021_5,numeric__THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2021_1,numeric__THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2021_2,numeric__THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2021_3,numeric__THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2021_4,numeric__THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2021_5
16,16,16,VAY,,,,,,,,,
(a),(a),(a),Ngắn hạn,,,,,,,,,
,,,,Tại ngày1.1.2021VND,Giải ngânVND,Thanh toánVND,Tại ngày31.12.2021VND,,,,,
,,,Bên liên quan (Thuyết minh 27(b)),4.295.030.000.000,16.765.000.000.000,(16.412.030.000.000),4.648.000.000.000,,4295030000000.0,16765000000000.0,-16412030000000.0,4648000000000.0
(b),(b),(b),Dài hạn,,,,,,,,,
,,,,Tại ngày1.1.2021VND,Giải ngânVND,Thanh toánVND,Tại ngày31.12.2021VND,,,,,
,,,Vay ngân hàng,-,1.099.205.700.000,-,1.099.205.700.000,,,1099205700000.0,,1099205700000.0
