row_label_raw,row_label_full,Ông Nguyễn Việt Thắng,Trường ban,numeric__Trường ban
Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,Thành viên,
Bà Nguyễn Thị Kim Anh,Bà Nguyễn Thị Kim Anh,Bà Nguyễn Thị Kim Anh,Thành viên,
