row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ khác của chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác của chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,6.783.586.880.000,49.941.441.360,(823.760.000),103.009.261,87.203.093.024,2.763.931.996.750,9.683.942.660.395,6783586880000.0,49941441360.0,-823760000.0,103009261.0,87203093024.0,2763931996750.0,9683942660395.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,33.917.900.000,-,-,-,-,-,33.917.900.000,33917900000.0,,,,,,33917900000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,2.884.321.772.746,2.884.321.772.746,,,,,,2884321772746.0,2884321772746.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,1.022.370.080.000,-,-,-,-,(1.022.370.080.000),-,1022370080000.0,,,,,-1022370080000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,(1.465.573.212.000),(1.465.573.212.000),,,,,,-1465573212000.0,-1465573212000.0
Các biến động khác của vốn chủ sở hữu,Các biến động khác của vốn chủ sở hữu,Các biến động khác của vốn chủ sở hữu,-,-,-,-,-,(31.283.810.285),(31.283.810.285),,,,,,-31283810285.0,-31283810285.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,7.839.874.860.000,49.941.441.360,(823.760.000),103.009.261,87.203.093.024,3.129.026.667.211,11.105.325.310.856,7839874860000.0,49941441360.0,-823760000.0,103009261.0,87203093024.0,3129026667211.0,11105325310856.0
Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),52.097.680.000,-,-,-,-,-,52.097.680.000,52097680000.0,,,,,,52097680000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,2.940.919.540.605,2.940.919.540.605,,,,,,2940919540605.0,2940919540605.0
Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),1.183.543.950.000,-,-,-,-,(1.183.543.950.000),-,1183543950000.0,,,,,-1183543950000.0,
Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),-,-,-,-,-,(1.696.584.151.000),(1.696.584.151.000),,,,,,-1696584151000.0,-1696584151000.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,9.075.516.490.000,49.941.441.360,(823.760.000),103.009.261,87.203.093.024,3.189.818.106.816,12.401.758.380.461,9075516490000.0,49941441360.0,-823760000.0,103009261.0,87203093024.0,3189818106816.0,12401758380461.0
