row_label_raw,row_label_full,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,7.375.000.000.000,1.035.000.000.000,numeric__7.375.000.000.000,numeric__1.035.000.000.000
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,3.306.000.000.000,1.700.000.000.000,3306000000000.0,1700000000000.0
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,1.836.000.000.000,935.000.000.000,1836000000000.0,935000000000.0
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,3.796.030.000.000,3.271.000.000.000,3796030000000.0,3271000000000.0
Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,5.000.000.000,7.000.000.000,5000000000.0,7000000000.0
Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,82.000.000.000,11.000.000.000,82000000000.0,11000000000.0
Công ty TNHH FPT Digital,Công ty TNHH FPT Digital,Công ty TNHH FPT Digital,12.000.000.000,-,12000000000.0,
,,,16.412.030.000.000,6.959.000.000.000,16412030000000.0,6959000000000.0
