row_label_raw,row_label_full,Công ty TNHH Đầu tư FPT,1.915.853.697,460.769.639,numeric__1.915.853.697,numeric__460.769.639
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,-,4.976.273.973,,4976273973.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,321.053.835,45.986.064,321053835.0,45986064.0
