row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,371.575.314.812,41.122.832.097,18.162.090.455,63.183.822.016,376.890.951,494.420.950.331,371575314812.0,41122832097.0,18162090455.0,63183822016.0,376890951.0,494420950331.0
Chuyên từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyên từ chi phí xây dựng cơ bản dở dang,Chuyên từ chi phí xây dựng cơ bản dở dang,1.388.965.229.359,231.848.634.268,-,8.253.690.194,-,1.629.067.553.821,1388965229359.0,231848634268.0,,8253690194.0,,1629067553821.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,30.814.657.601,2.697.698.912,-,6.505.644.182,2.537.180.120,42.555.180.815,30814657601.0,2697698912.0,,6505644182.0,2537180120.0,42555180815.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(2.947.680.000),(5.070.243.316),(108.383.360),(8.126.306.676),,,-2947680000.0,-5070243316.0,-108383360.0,-8126306676.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,1.791.355.201.772,275.669.165.277,15.214.410.455,72.872.913.076,2.805.687.711,2.157.917.378.291,1791355201772.0,275669165277.0,15214410455.0,72872913076.0,2805687711.0,2157917378291.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao luỹ kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,(61.166.049.179),(40.987.183.441),(9.764.815.920),(53.704.924.778),(376.890.951),(165.999.864.269),-61166049179.0,-40987183441.0,-9764815920.0,-53704924778.0,-376890951.0,-165999864269.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,(21.062.966.576),(2.845.363.964),(2.908.573.625),(7.495.535.238),(487.588.348),(34.800.027.751),-21062966576.0,-2845363964.0,-2908573625.0,-7495535238.0,-487588348.0,-34800027751.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,2.703.378.620,5.062.412.615,108.383.360,7.874.174.595,,,2703378620.0,5062412615.0,108383360.0,7874174595.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao luỹ kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,(82.229.015.755),(43.832.547.405),(9.970.010.925),(56.138.047.401),(756.095.939),(192.925.717.425),-82229015755.0,-43832547405.0,-9970010925.0,-56138047401.0,-756095939.0,-192925717425.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,310.409.265.633,135.648.656,8.397.274.535,9.478.897.238,-,328.421.086.062,310409265633.0,135648656.0,8397274535.0,9478897238.0,,328421086062.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,1.709.126.186.017,231.836.617.872,5.244.399.530,16.734.865.675,2.049.591.772,1.964.991.660.866,1709126186017.0,231836617872.0,5244399530.0,16734865675.0,2049591772.0,1964991660866.0
