row_label_raw,row_label_full,Công ty TNHH Hệ thống Thông tin FPT,-,17.500.000.000,numeric__-,numeric__17.500.000.000
Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,185.000.000.000,-,185000000000.0,
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,-,450.000.000.000,,450000000000.0
