row_label_raw,row_label_full,col_0,Tỷ giá hối đoái tại ngày > 31/12/2020,Tỷ giá hối đoái tại ngày > 31/12/2019,numeric__Tỷ giá hối đoái tại ngày > 31/12/2020,numeric__Tỷ giá hối đoái tại ngày > 31/12/2019
USD/VND,USD/VND,USD/VND,23.130,23.180,23130.0,23180.0
EUR/VND,EUR/VND,EUR/VND,28.385,25.992,28385.0,25992.0
GBP/VND,GBP/VND,GBP/VND,31.567,30.450,31567.0,30450.0
CHF/VND,CHF/VND,CHF/VND,26.212,23.947,26212.0,23947.0
JPY/VND,JPY/VND,JPY/VND,"223,97","213,00",223.97,213.0
SGD/VND,SGD/VND,SGD/VND,17.473,17.225,17473.0,17225.0
CAD/VND,CAD/VND,CAD/VND,18.123,17.771,18123.0,17771.0
AUD/VND,AUD/VND,AUD/VND,17.797,16.242,17797.0,16242.0
HKD/VND,HKD/VND,HKD/VND,3.042,2.977,3042.0,2977.0
KRW/VND,KRW/VND,KRW/VND,21,20,21.0,20.0
XAU/VND (chỉ),XAU/VND (chỉ),XAU/VND (chỉ),5.582.500,4.257.500,5582500.0,4257500.0
