row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị ghi số Triệu VND,31/12/2020 > Giá trị hợp lý Triệu VND,31/12/2019 > Giá trị ghi số Triệu VND,31/12/2019 > Giá trị hợp lý Triệu VND,numeric__31/12/2020 > Giá trị ghi số Triệu VND,numeric__31/12/2020 > Giá trị hợp lý Triệu VND,numeric__31/12/2019 > Giá trị ghi số Triệu VND,numeric__31/12/2019 > Giá trị hợp lý Triệu VND
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,,,,
- Các khoản nợ Chính phủ và NHNNVN,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản nợ Chính phủ và NHNNVN,- Các khoản nợ Chính phủ và NHNNVN,1.254,(*),1.512,(*),1254.0,,1512.0,
- Tiền gửi và vay các TCTD khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Tiền gửi và vay các TCTD khác,- Tiền gửi và vay các TCTD khác,19.087.651,(*),11.720.897,(*),19087651.0,,11720897.0,
- Tiền gửi của khách hàng,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Tiền gửi của khách hàng,- Tiền gửi của khách hàng,98.318.833,(*),70.744.734,(*),98318833.0,,70744734.0,
- Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,- Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,5.571,(*),4.718,(*),5571.0,,4718.0,
"- Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","- Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",472.367,(*),710.001,(*),472367.0,,710001.0,
- Phát hành giấy tờ có giá,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Phát hành giấy tờ có giá,- Phát hành giấy tờ có giá,6.957.313,(*),4.412.123,(*),6957313.0,,4412123.0,
"- Các khoản lãi, phí phải trả","Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản lãi, phí phải trả","- Các khoản lãi, phí phải trả",2.410.083,(*),1.679.219,(*),2410083.0,,1679219.0,
- Nợ phải trả tài chính khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Nợ phải trả tài chính khác,- Nợ phải trả tài chính khác,292.204,(*),144.232,(*),292204.0,,144232.0,
