row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tại ngày 31 tháng 12 năm 2019","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn > Quá hạn trên 3 tháng Triệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn > Quá hạn đến 3 tháng Triệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn > Đến 1 tháng Triệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trong hạn > Từ trên 1 đến 3 tháng Triệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trong hạn > Từ trên 3 đến 12 tháng Triệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trong hạn > Từ trên 1 đến 5 năm Triệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD > Thống tư số 49/2014/TT-NHNN ngày 31 tháng 12 năm 2014 của Ngân hàng Nhà nước Việt Nam)","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD > Thống tư số 49/2014/TT-NHNN ngày 31 tháng 12 năm 2014 của Ngân hàng Nhà nước Việt Nam)_1","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn > Quá hạn trên 3 tháng Triệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn > Quá hạn đến 3 tháng Triệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn > Đến 1 tháng Triệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trong hạn > Từ trên 1 đến 3 tháng Triệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trong hạn > Từ trên 3 đến 12 tháng Triệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trong hạn > Từ trên 1 đến 5 năm Triệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD > Thống tư số 49/2014/TT-NHNN ngày 31 tháng 12 năm 2014 của Ngân hàng Nhà nước Việt Nam)","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD > Thống tư số 49/2014/TT-NHNN ngày 31 tháng 12 năm 2014 của Ngân hàng Nhà nước Việt Nam)_1"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,-,945.670,-,-,-,-,945.670,,,945670.0,,,,,945670.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.055.469,-,-,-,-,3.055.469,,,3055469.0,,,,,3055469.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sản > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,-,-,9.127.236,2.459.760,49.417,159.241,-,11.795.654,,,9127236.0,2459760.0,49417.0,159241.0,,11795654.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,144.141,-,,,,144.141,,,144141.0,,,,,144141.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),841.800,3.028.185,4.532.582,4.976.156,35.904.518,7.943.833,10.318.579,67.545.653,841800.0,3028185.0,4532582.0,4976156.0,35904518.0,7943833.0,10318579.0,67545653.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,100.054,470.067,550.166,1.923.797,4.386.247,7.430.331,,,100054.0,470067.0,550166.0,1923797.0,4386247.0,7430331.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,165.280,165.280,,,,,,,165280.0,165280.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,881.710,881.710,,,,,,,881710.0,881710.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,-,729.012,262.479,2.239.252,282.342,48.914,3.561.999,,,729012.0,262479.0,2239252.0,282342.0,48914.0,3561999.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),841.800,3.028.185,18.634.164,8.168.462,38.743.353,10.309.213,15.800.730,95.525.907,841800.0,3028185.0,18634164.0,8168462.0,38743353.0,10309213.0,15800730.0,95525907.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,35,764,713,-,-,1.512,,,35.0,764.0,713.0,,,1512.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,9.242.371,2.460.149,1.769,16.608,-,11.720.897,,,9242371.0,2460149.0,1769.0,16608.0,,11720897.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,18.840.720,13.477.179,34.970.085,3.455.058,1.692,70.744.734,,,18840720.0,13477179.0,34970085.0,3455058.0,1692.0,70744734.0
Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,-,-,(36),5.042,(288),-,-,4.718,,,-36.0,5042.0,-288.0,,,4718.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,463.600,116.088,125.363,4.950,710.001,,,,463600.0,116088.0,125363.0,4950.0,710001.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,1.096.670,1.675.513,1.639.940,4.412.123,,,,,1096670.0,1675513.0,1639940.0,4412123.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,769.743,441.795,739.695,162.260,18.013,2.131.506,,,769743.0,441795.0,739695.0,162260.0,18013.0,2131506.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,28.852.833,16.848.529,36.924.732,5.434.802,1.664.595,89.725.491,,,28852833.0,16848529.0,36924732.0,5434802.0,1664595.0,89725491.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],841.800,3.028.185,(10.218.669),(8.680.067),1.818.621,4.874.411,14.136.135,5.800.416,841800.0,3028185.0,-10218669.0,-8680067.0,1818621.0,4874411.0,14136135.0,5800416.0
