row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2020Triệu VND,31/12/2019Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2020Triệu VND,numeric__31/12/2019Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,16,1.254,1.512,,16.0,1254.0,1512.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,19.087.651,11.720.897,,17.0,19087651.0,11720897.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,13.256.856,11.244.350,,,13256856.0,11244350.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,5.830.795,476.547,,,5830795.0,476547.0
III,B > III,III,Tiền gửi của khách hàng,18,98.318.833,70.744.734,,18.0,98318833.0,70744734.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,19,5.571,4.718,,19.0,5571.0,4718.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",20,472.367,710.001,,20.0,472367.0,710001.0
VI,B > VI,VI,Phát hành giấy tờ có giá,21,6.957.313,4.412.123,,21.0,6957313.0,4412123.0
VII,B > VII,VII,Các khoản nợ khác,22,2.935.693,2.131.506,,22.0,2935693.0,2131506.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.410.083,1.679.219,,,2410083.0,1679219.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,525.610,452.287,,,525610.0,452287.0
,,,TỔNG NỘ PHẢI TRẢ,,127.778.682,89.725.491,,,127778682.0,89725491.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,24,6.570.260,4.931.875,,24.0,6570260.0,4931875.0
1,B > 1,1,Vốn của tổ chức tín dụng,,4.735.774,3.892.642,,,4735774.0,3892642.0
a,B > a,a,Vốn điều lệ,,4.564.468,3.890.053,,,4564468.0,3890053.0
b,B > b,b,"Vốn đầu tư xây dựng cơ bản, mua sắm tài sản cố định",,10,10,,,10.0,10.0
c,B > c,c,Thặng dư vốn cổ phần,,171.271,2.554,,,171271.0,2554.0
g,B > g,g,Vốn khác,,25,25,,,25.0,25.0
2,B > 2,2,Các quỹ,,532.771,411.577,,,532771.0,411577.0
5,B > 5,5,Lợi nhuận chưa phân phối,,1.301.715,627.656,,,1301715.0,627656.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,6.570.260,4.931.875,,,6570260.0,4931875.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,134.348.942,94.657.366,,,134348942.0,94657366.0
