row_label_raw,row_label_full,col_0,Khu vựcMiền BắcTriệu VND > 2020,Khu vựcMiền BắcTriệu VND > 2019,Khu vựcMiền TrungTriệu VND > 2020,Khu vựcMiền TrungTriệu VND > 2019,Khu vựcMiền NamTriệu VND > 2020,Khu vựcMiền NamTriệu VND > 2019,Loại trừTriệu VND > 2020,Loại trừTriệu VND > 2019,TổngTriệu VND > 2020,TổngTriệu VND > 2019,numeric__Khu vựcMiền BắcTriệu VND > 2020,numeric__Khu vựcMiền BắcTriệu VND > 2019,numeric__Khu vựcMiền TrungTriệu VND > 2020,numeric__Khu vựcMiền TrungTriệu VND > 2019,numeric__Khu vựcMiền NamTriệu VND > 2020,numeric__Khu vựcMiền NamTriệu VND > 2019,numeric__Loại trừTriệu VND > 2020,numeric__Loại trừTriệu VND > 2019,numeric__TổngTriệu VND > 2020,numeric__TổngTriệu VND > 2019
I. Doanh thu,I. Doanh thu,I. Doanh thu,1.773.120,1.085.375,2.273.252,1.828.482,20.916.679,16.113.405,(15.168.491),(11.475.329),9.794.560,7.551.933,1773120.0,1085375.0,2273252.0,1828482.0,20916679.0,16113405.0,-15168491.0,-11475329.0,9794560.0,7551933.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,1.763.819,1.080.387,2.258.112,1.811.821,20.223.004,15.703.955,(15.168.491),(11.475.329),9.076.444,7.120.834,1763819.0,1080387.0,2258112.0,1811821.0,20223004.0,15703955.0,-15168491.0,-11475329.0,9076444.0,7120834.0
2. Doanh thu từ hoạt độngdịch vụ,2. Doanh thu từ hoạt độngdịch vụ,2. Doanh thu từ hoạt độngdịch vụ,4.556,2.413,13.991,13.509,191.401,144.206,-,-,209.948,160.128,4556.0,2413.0,13991.0,13509.0,191401.0,144206.0,,,209948.0,160128.0
3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,4.745,2.575,1.149,3.152,502.274,265.244,-,-,508.168,270.971,4745.0,2575.0,1149.0,3152.0,502274.0,265244.0,,,508168.0,270971.0
II. Chi phí,II. Chi phí,II. Chi phí,(1.663.744),(1.010.624),(2.060.346),(1.708.209),(19.676.153),(15.398.763),15.168.491,11.475.329,(8.231.752),(6.642.267),-1663744.0,-1010624.0,-2060346.0,-1708209.0,-19676153.0,-15398763.0,15168491.0,11475329.0,-8231752.0,-6642267.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(1.539.570),(924.301),(1.857.475),(1.541.120),(18.255.651),(13.948.639),15.168.491,11.475.329,(6.484.205),(4.938.731),-1539570.0,-924301.0,-1857475.0,-1541120.0,-18255651.0,-13948639.0,15168491.0,11475329.0,-6484205.0,-4938731.0
2. Chi phí khấu hao tài sảncố định,2. Chi phí khấu hao tài sảncố định,2. Chi phí khấu hao tài sảncố định,(4.124),(2.952),(10.452),(8.641),(78.131),(63.162),-,-,(92.707),(74.755),-4124.0,-2952.0,-10452.0,-8641.0,-78131.0,-63162.0,,,-92707.0,-74755.0
3. Chi phí liên quan trực tiếpđền hoạt động kinh doanh,3. Chi phí liên quan trực tiếpđền hoạt động kinh doanh,3. Chi phí liên quan trực tiếpđền hoạt động kinh doanh,(120.050),(83.371),(192.419),(158.448),(1.342.371),(1.386.962),-,-,(1.654.840),(1.628.781),-120050.0,-83371.0,-192419.0,-158448.0,-1342371.0,-1386962.0,,,-1654840.0,-1628781.0
Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,109.376,74.751,212.906,120.273,1.240.526,714.642,-,-,1.562.808,909.666,109376.0,74751.0,212906.0,120273.0,1240526.0,714642.0,,,1562808.0,909666.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(5.372),(11.072),(2.514),48.308,(550.323),(25.094),-,-,558.209,12.142,-5372.0,-11072.0,-2514.0,48308.0,-550323.0,-25094.0,,,558209.0,12142.0
Kết quả kinh doanh bộphận trước thuế TNDN,Kết quả kinh doanh bộphận trước thuế TNDN,Kết quả kinh doanh bộphận trước thuế TNDN,104.004,63.679,210.392,168.581,690.203,689.548,-,-,1.004.599,921.808,104004.0,63679.0,210392.0,168581.0,690203.0,689548.0,,,1004599.0,921808.0
