row_label_raw,row_label_full,Năm kết thúc ngày 31/12/2020 > Thuế giá trị gia tăng,Số dưđầu nămTriệu VND > 598,Phát sinh trong năm > Số phải nộpTriệu VND > 8.574,Phát sinh trong năm > Số đã nộpTriệu VND > (7.897),Số dưcuối nămTriệu VND > 1.275,numeric__Số dưđầu nămTriệu VND > 598,numeric__Phát sinh trong năm > Số phải nộpTriệu VND > 8.574,numeric__Phát sinh trong năm > Số đã nộpTriệu VND > (7.897),numeric__Số dưcuối nămTriệu VND > 1.275
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,69.717,204.935,(150.228),124.424,69717.0,204935.0,-150228.0,124424.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.819,79.395,(77.300),11.914,9819.0,79395.0,-77300.0,11914.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,564,3.712,(3.851),425,564.0,3712.0,-3851.0,425.0
,,,80.698,296.616,(239.276),138.038,80698.0,296616.0,-239276.0,138038.0
Năm kết thúc ngày 31/12/2019,Năm kết thúc ngày 31/12/2019,Năm kết thúc ngày 31/12/2019,Số dưđầu nămTriệu VND,Phát sinh trong năm,Phát sinh trong năm,Số dưcuối nămTriệu VND,,,,
Năm kết thúc ngày 31/12/2019,Năm kết thúc ngày 31/12/2019,Năm kết thúc ngày 31/12/2019,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đã nộpTriệu VND,Số dưcuối nămTriệu VND,,,,
Thuế giá trị gia tăng,Năm kết thúc ngày 31/12/2019 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.023,8.398,(8.823),598,1023.0,8398.0,-8823.0,598.0
Thuế thu nhập doanh nghiệp,Năm kết thúc ngày 31/12/2019 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,55.593,191.010,(176.886),69.717,55593.0,191010.0,-176886.0,69717.0
Thuế thu nhập cá nhân,Năm kết thúc ngày 31/12/2019 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.791,82.880,(77.852),9.819,4791.0,82880.0,-77852.0,9819.0
Các loại thuế khác,Năm kết thúc ngày 31/12/2019 > Các loại thuế khác,Các loại thuế khác,79,2.443,(1.958),564,79.0,2443.0,-1958.0,564.0
,,,61.486,284.731,(265.519),80.698,61486.0,284731.0,-265519.0,80698.0
