row_label_raw,row_label_full,N,-,-_1,35,764,358,355,-_2,-_3,1.512,numeric__-,numeric__-_1,numeric__35,numeric__764,numeric__358,numeric__355,numeric__-_2,numeric__-_3,numeric__1.512
N,N,N,-,-,9.242.949,2.462.215,8.847,663,6.223,-,11.720.897,,,9242949.0,2462215.0,8847.0,663.0,6223.0,,11720897.0
N,N,N,-,-,18.840.720,13.477.179,20.454.089,14.515.996,3.455.058,1.692,70.744.734,,,18840720.0,13477179.0,20454089.0,14515996.0,3455058.0,1692.0,70744734.0
N,N,N,-,4.718,-,-,-,-,-,-,4.718,,4718.0,,,,,,,4718.0
N,N,N,-,-,14.601,463.600,231.800,-,-,-,710.001,,,14601.0,463600.0,231800.0,,,,710001.0
N,N,N,-,-,-,-,600.000,496.670,1.675.513,1.639.940,4.412.123,,,,,600000.0,496670.0,1675513.0,1639940.0,4412123.0
N,N,N,-,2.131.506,-,-,-,-,-,-,2.131.506,,2131506.0,,,,,,,2131506.0
,,,-,2.136.224,28.098.305,16.403.758,21.295.094,15.013.684,5.136.794,1.641.632,89.725.491,,2136224.0,28098305.0,16403758.0,21295094.0,15013684.0,5136794.0,1641632.0,89725491.0
3.869.985,3.869.985,3.869.985,3.869.985,3.771.234,(2.399.456),31.988.887,(16.569.152),(14.499.152),(3.106.545),2.744.615,5.800.416,3869985.0,3771234.0,-2399456.0,31988887.0,-16569152.0,-14499152.0,-3106545.0,2744615.0,5800416.0
,,,-,-,-,-,-,-,-,-,-,,,,,,,,,
3.869.985,3.869.985,3.869.985,3.869.985,3.771.234,(2.399.456),31.988.887,(16.569.152),(14.499.152),(3.106.545),2.744.615,5.800.416,3869985.0,3771234.0,-2399456.0,31988887.0,-16569152.0,-14499152.0,-3106545.0,2744615.0,5800416.0
