row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận tàiTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sảncó định khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận tàiTriệu VND,"numeric__Thiết bị, dụngcụ quản lýTriệu VND",numeric__Tài sảncó định khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,396.041,228.485,137.317,33.241,13.923,809.007,396041.0,228485.0,137317.0,33241.0,13923.0,809007.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,12.490,743,479,246,13.958,,12490.0,743.0,479.0,246.0,13958.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,26.916,63.128,21.274,1.253,553,113.124,26916.0,63128.0,21274.0,1253.0,553.0,113124.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(3.499),(12.367),(318),(316),(16.500),,-3499.0,-12367.0,-318.0,-316.0,-16500.0
Chuyển từ tài sản cố định thuê tài chính,Nguyên giá > Chuyển từ tài sản cố định thuê tài chính,Chuyển từ tài sản cố định thuê tài chính,-,-,26.876,-,-,26.876,,,26876.0,,,26876.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,422.957,300.604,173.843,34.655,14.406,946.465,422957.0,300604.0,173843.0,34655.0,14406.0,946465.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,113.064,144.322,67.049,25.544,10.136,360.115,113064.0,144322.0,67049.0,25544.0,10136.0,360115.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,14.833,25.615,19.658,2.524,1.466,64.096,14833.0,25615.0,19658.0,2524.0,1466.0,64096.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(3.497),(12.335),(317),(316),(16.465),,-3497.0,-12335.0,-317.0,-316.0,-16465.0
Chuyển từ tài sản cố định thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định thuê tài chính,Chuyển từ tài sản cố định thuê tài chính,-,-,22.820,-,-,22.820,,,22820.0,,,22820.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,127.897,166.440,97.192,27.751,11.286,430.566,127897.0,166440.0,97192.0,27751.0,11286.0,430566.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,282.977,84.163,70.268,7.697,3.787,448.892,282977.0,84163.0,70268.0,7697.0,3787.0,448892.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,295.060,134.164,76.651,6.904,3.120,515.899,295060.0,134164.0,76651.0,6904.0,3120.0,515899.0
