row_label_raw,row_label_full,Số dư cuối năm,31/12/2020Triệu VNDPhải thu/(Phải trả),31/12/2019Triệu VND,numeric__31/12/2020Triệu VNDPhải thu/(Phải trả),numeric__31/12/2019Triệu VND
Công ty con,Công ty con,Công ty con,,,,
Tiền gửi,Công ty con > Tiền gửi,Tiền gửi,(64.802),(1.442),-64802.0,-1442.0
Lãi dự chỉ cho tiền gửi,Công ty con > Lãi dự chỉ cho tiền gửi,Lãi dự chỉ cho tiền gửi,(125),(1),-125.0,-1.0
"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng",,,,
Tiền gửi,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Tiền gửi",Tiền gửi,(32.457),(15.355),-32457.0,-15355.0
Tiền cho vay,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Tiền cho vay",Tiền cho vay,36.376,312,36376.0,312.0
Lãi dự chỉ cho tiền gửi,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Lãi dự chỉ cho tiền gửi",Lãi dự chỉ cho tiền gửi,(51),(25),-51.0,-25.0
Lãi dự thu từ cho vay,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Lãi dự thu từ cho vay",Lãi dự thu từ cho vay,214,2,214.0,2.0
Phải trả khác,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Phải trả khác",Phải trả khác,(73),(73),-73.0,-73.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Tiền gửi,Các bên liên quan khác (*) > Tiền gửi,Tiền gửi,(680.907),(76.383),-680907.0,-76383.0
Tiền cho vay,Các bên liên quan khác (*) > Tiền cho vay,Tiền cho vay,24.908,433.069,24908.0,433069.0
Đặt cọc thuê trụ sở,Các bên liên quan khác (*) > Đặt cọc thuê trụ sở,Đặt cọc thuê trụ sở,6.128,18.352,6128.0,18352.0
Lãi dự chỉ cho tiền gửi,Các bên liên quan khác (*) > Lãi dự chỉ cho tiền gửi,Lãi dự chỉ cho tiền gửi,(27.571),(1.149),-27571.0,-1149.0
Lãi dự thu từ cho vay,Các bên liên quan khác (*) > Lãi dự thu từ cho vay,Lãi dự thu từ cho vay,101,2.001,101.0,2001.0
Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,2020Triệu VND,2019Triệu VND,,
Công ty con,Công ty con,Công ty con,,,,
Trả lãi tiền gửi,Công ty con > Trả lãi tiền gửi,Trả lãi tiền gửi,723,1.344,723.0,1344.0
Thu phí dịch vụ khác,Công ty con > Thu phí dịch vụ khác,Thu phí dịch vụ khác,4,-,4.0,
"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng",,,,
Tiền lương và phụ cấp trả cho các thành viên Ban Tổng Giám đốc,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Tiền lương và phụ cấp trả cho các thành viên Ban Tổng Giám đốc",Tiền lương và phụ cấp trả cho các thành viên Ban Tổng Giám đốc,24.258,18.481,24258.0,18481.0
Thù lao trả cho các thành viên Hội đồng Quản trị và Ban Kiểm soát,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Thù lao trả cho các thành viên Hội đồng Quản trị và Ban Kiểm soát",Thù lao trả cho các thành viên Hội đồng Quản trị và Ban Kiểm soát,6.160,7.060,6160.0,7060.0
Trả lãi tiền gửi,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Trả lãi tiền gửi",Trả lãi tiền gửi,932,382,932.0,382.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Thu lãi cho vay,Các bên liên quan khác (*) > Thu lãi cho vay,Thu lãi cho vay,1.092,22.472,1092.0,22472.0
Chi phí thuê,Các bên liên quan khác (*) > Chi phí thuê,Chi phí thuê,12.824,12.824,12824.0,12824.0
Trả lãi tiền gửi,Các bên liên quan khác (*) > Trả lãi tiền gửi,Trả lãi tiền gửi,49.461,4.173,49461.0,4173.0
Thu phí thuê,Các bên liên quan khác (*) > Thu phí thuê,Thu phí thuê,1.494,1.546,1494.0,1546.0
Chi dịch vụ khác,Các bên liên quan khác (*) > Chi dịch vụ khác,Chi dịch vụ khác,2,65,2.0,65.0
