row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Triệu VND,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản Triệu VND,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trả Triệu VND,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Triệu VND,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản Triệu VND,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trả Triệu VND
Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,,,,,,
▪ Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phái sinh tiền tệ > ▪ Giao dịch kỳ hạn tiền tệ,▪ Giao dịch kỳ hạn tiền tệ,79.475,833,-,79475.0,833.0,
▪ Giao dịch hoán đối tiền tệ,Công cụ tài chính phái sinh tiền tệ > ▪ Giao dịch hoán đối tiền tệ,▪ Giao dịch hoán đối tiền tệ,2.764.474,-,(6.404),2764474.0,,-6404.0
,,,2.843.949,833,(6.404),2843949.0,833.0,-6404.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo),,,
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Triệu VND,Tài sản Triệu VND,Nợ phải trả Triệu VND,,,
Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,,,,,,
▪ Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phái sinh tiền tệ > ▪ Giao dịch kỳ hạn tiền tệ,▪ Giao dịch kỳ hạn tiền tệ,11.026,288,-,11026.0,288.0,
▪ Giao dịch hoán đối tiền tệ,Công cụ tài chính phái sinh tiền tệ > ▪ Giao dịch hoán đối tiền tệ,▪ Giao dịch hoán đối tiền tệ,700.407,-,(5.006),700407.0,,-5006.0
,,,711.433,288,(5.006),711433.0,288.0,-5006.0
