row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phần Nam fiscal,Ngân hàng Thương mại Cổ phần Nam fiscal_1,Ngân hàng Thương mại Cổ phần Nam fiscal_2,Ngân hàng Thương mại Cổ phần Nam fiscal_3,Ngân hàng Thương mại Cổ phần Nam fiscal_4,Ngân hàng Thương mại Cổ phần Nam fiscal_5,Ngân hàng Thương mại Cổ phần Nam fiscal_6,Ngân hàng Thương mại Cổ phần Nam fiscal_7,Ngân hàng Thương mại Cổ phần Nam fiscal_8,numeric__Ngân hàng Thương mại Cổ phần Nam fiscal_1,numeric__Ngân hàng Thương mại Cổ phần Nam fiscal_2,numeric__Ngân hàng Thương mại Cổ phần Nam fiscal_3,numeric__Ngân hàng Thương mại Cổ phần Nam fiscal_4,numeric__Ngân hàng Thương mại Cổ phần Nam fiscal_5,numeric__Ngân hàng Thương mại Cổ phần Nam fiscal_6,numeric__Ngân hàng Thương mại Cổ phần Nam fiscal_7,numeric__Ngân hàng Thương mại Cổ phần Nam fiscal_8
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),481.112,2.328.471,2.968.184,6.807.009,43.569.337,15.029.382,17.988.123,89.171.618,481112.0,2328471.0,2968184.0,6807009.0,43569337.0,15029382.0,17988123.0,89171618.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,-,400.535,1.619.272,3.062.529,15.200.585,20.282.921,,,,400535.0,1619272.0,3062529.0,15200585.0,20282921.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,215.280,215.280,,,,,,,215280.0,215280.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,1.001.170,1.001.170,,,,,,,1001170.0,1001170.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,-,1.274.517,2.715.583,2.826.989,283.306,48.019,7.148.414,,,1274517.0,2715583.0,2826989.0,283306.0,48019.0,7148414.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),481.112,2.328.471,19.518.129,11.881.287,48.153.319,18.455.205,34.453.177,135.270.700,481112.0,2328471.0,19518129.0,11881287.0,48153319.0,18455205.0,34453177.0,135270700.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,35,764,455,-,-,1.254,,,35.0,764.0,455.0,,,1254.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,16.426.808,2.629.947,7.322,23.574,-,19.087.651,,,16426808.0,2629947.0,7322.0,23574.0,,19087651.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,24.882.040,23.607.319,46.597.151,3.230.392,1.931,98.318.833,,,24882040.0,23607319.0,46597151.0,3230392.0,1931.0,98318833.0
Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,-,-,(36),2.077,3.530,-,-,5.571,,,-36.0,2077.0,3530.0,,,5571.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,246,672,118.276,352.923,250,472.367,,,246.0,672.0,118276.0,352923.0,250.0,472367.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,5.760,-,1.713.710,3.715.513,1.522.330,6.957.313,,,5760.0,,1713710.0,3715513.0,1522330.0,6957313.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,680.810,906.705,1.266.731,46.428,35.019,2.935.693,,,680810.0,906705.0,1266731.0,46428.0,35019.0,2935693.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,41.995.663,27.147.484,49.707.175,7.368.830,1.559.530,127.778.682,,,41995663.0,27147484.0,49707175.0,7368830.0,1559530.0,127778682.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],481.112,2.328.471,(22.477.534),(15.266.197),(1.553.856),11.086.375,32.893.647,7.492.018,481112.0,2328471.0,-22477534.0,-15266197.0,-1553856.0,11086375.0,32893647.0,7492018.0
