row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Thiết bị dụng cụ quản lý,Tài sản cổ định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cổ định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,1.078.476,82.969,56.388,88.820,18.087,1.324.740,1078476.0,82969.0,56388.0,88820.0,18087.0,1324740.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,-,1.119,3.942,3.942,1.797,10.800,,1119.0,3942.0,3942.0,1797.0,10800.0
- Tăng do điều chuyển,Nguyên giá TSCĐ hữu hình > - Tăng do điều chuyển,- Tăng do điều chuyển,-,-,2.845,32,-,2.877,,,2845.0,32.0,,2877.0
- Tăng do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Tăng do điều chỉnh,- Tăng do điều chỉnh,-,51,15,-,60,126,,51.0,15.0,,60.0,126.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(47),-,(414),(566),(1.027),,-47.0,,-414.0,-566.0,-1027.0
- Giảm do điều chuyển,Nguyên giá TSCĐ hữu hình > - Giảm do điều chuyển,- Giảm do điều chuyển,-,-,(2.845),(32),-,(2.877),,,-2845.0,-32.0,,-2877.0
- Giảm do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Giảm do điều chỉnh,- Giảm do điều chỉnh,-,(51),(15),-,(60),(126),,-51.0,-15.0,,-60.0,-126.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,1.078.476,84.041,60.330,92.348,19.318,1.334.513,1078476.0,84041.0,60330.0,92348.0,19318.0,1334513.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,421.234,72.802,54.485,45.363,13.201,607.085,421234.0,72802.0,54485.0,45363.0,13201.0,607085.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,42.515,2.474,795,9.230,1.795,56.809,42515.0,2474.0,795.0,9230.0,1795.0,56809.0
- Hao mòn trong năm (Công ty con),Giá trị hao mòn lũy kế > - Hao mòn trong năm (Công ty con),- Hao mòn trong năm (Công ty con),-,122,103,11,55,291,,122.0,103.0,11.0,55.0,291.0
- Tăng do điều chuyển,Giá trị hao mòn lũy kế > - Tăng do điều chuyển,- Tăng do điều chuyển,-,-,2.845,15,-,2.860,,,2845.0,15.0,,2860.0
- Tăng do điều chỉnh,Giá trị hao mòn lũy kế > - Tăng do điều chỉnh,- Tăng do điều chỉnh,-,60,-,4,9,73,,60.0,,4.0,9.0,73.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(47),-,(414),(566),(1.027),,-47.0,,-414.0,-566.0,-1027.0
- Giảm do điều chuyển,Giá trị hao mòn lũy kế > - Giảm do điều chuyển,- Giảm do điều chuyển,-,-,(2.845),(15),-,(2.860),,,-2845.0,-15.0,,-2860.0
- Giảm do điều chỉnh,Giá trị hao mòn lũy kế > - Giảm do điều chỉnh,- Giảm do điều chỉnh,-,(60),-,(4),(9),(73),,-60.0,,-4.0,-9.0,-73.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,463.749,75.351,55.383,54.190,14.485,663.158,463749.0,75351.0,55383.0,54190.0,14485.0,663158.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,657.242,10.167,1.903,43.457,4.886,717.655,657242.0,10167.0,1903.0,43457.0,4886.0,717655.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,614.727,8.690,4.947,38.158,4.833,671.355,614727.0,8690.0,4947.0,38158.0,4833.0,671355.0
