row_label_raw,row_label_full,Họ tên,Chức vụ,Phát sinh trong năm(triệu đồng),numeric__Chức vụ,numeric__Phát sinh trong năm(triệu đồng)
Hội đồng Quân trị,Hội đồng Quân trị,Hội đồng Quân trị,,1.888,,1888.0
Ông Vũ Quang Lâm,Ông Vũ Quang Lâm,Ông Vũ Quang Lâm,Chủ tịch,1.083,,1083.0
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Thành viên,191,,191.0
Ông Phạm Hoài Nam,Ông Phạm Hoài Nam,Ông Phạm Hoài Nam,Thành viên,20,,20.0
Ông Nguyễn Thanh Long,Ông Nguyễn Thanh Long,Ông Nguyễn Thanh Long,Thành viên,20,,20.0
Bà Tôn Thị Nhật Giang,Bà Tôn Thị Nhật Giang,Bà Tôn Thị Nhật Giang,Thành viên,20,,20.0
Bà Phan Thị Bích Nguyệt,Bà Phan Thị Bích Nguyệt,Bà Phan Thị Bích Nguyệt,Thành viên độc lập,20,,20.0
Bà Nguyễn Thị Hồng Thủy,Bà Nguyễn Thị Hồng Thủy,Bà Nguyễn Thị Hồng Thủy,Thành viên độc lập,20,,20.0
Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Thành viên,171,,171.0
Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Thành viên,169,,169.0
Bà Phạm Thị Kim Lệ,Bà Phạm Thị Kim Lệ,Bà Phạm Thị Kim Lệ,Thành viên độc lập,174,,174.0
