row_label_raw,row_label_full,Ông Vũ Quang Lăm,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Thành viên,,,
Ông Phạm Hoài Nam,Ông Phạm Hoài Nam,Ông Phạm Hoài Nam,Thành viên,Được bầu làm Thành viên HĐQT nhiệm kỳ 2024-2029 kể từ ngày 01/11/2024,,
Ông Nguyễn Thanh Long,Ông Nguyễn Thanh Long,Ông Nguyễn Thanh Long,Thành viên,Được bầu làm Thành viên HĐQT nhiệm kỳ 2024-2029 kể từ ngày 01/11/2024,,
Bà Tôn Thị Nhật Giang,Bà Tôn Thị Nhật Giang,Bà Tôn Thị Nhật Giang,Thành viên,Được bầu làm Thành viên HĐQT nhiệm kỳ 2024-2029 kể từ ngày 01/11/2024,,
Bà Phan Thị Bích Nguyệt,Bà Phan Thị Bích Nguyệt,Bà Phan Thị Bích Nguyệt,Thành viên độc lập,Được bầu làm Thành viên HĐQT nhiệm kỳ 2024-2029 kể từ ngày 01/11/2024,,
Bà Nguyễn Thị Hồng Thủy,Bà Nguyễn Thị Hồng Thủy,Bà Nguyễn Thị Hồng Thủy,Thành viên độc lập,Được bầu làm Thành viên HĐQT nhiệm kỳ 2024-2029 kể từ ngày 01/11/2024,,
Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Thành viên,Kết thúc nhiệm kỳ 2019-2024 kể từ ngày 01/11/2024,,
Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Thành viên,Kết thúc nhiệm kỳ 2019-2024 kể từ ngày 01/11/2024,,
Bà Phạm Thị Kim Lệ,Bà Phạm Thị Kim Lệ,Bà Phạm Thị Kim Lệ,Thành viên độc lập,Kết thúc nhiệm kỳ 2019-2024 kể từ ngày 01/11/2024,,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,
Ông Trần Thế Truyền,Ông Trần Thế Truyền,Ông Trần Thế Truyền,Trường ban,Được bầu làm Trường ban Kiểm soát nhiệm kỳ 2024-2029 kể từ ngày 01/11/2024,,
Bà Đăng Thị Kiều Phước,Bà Đăng Thị Kiều Phước,Bà Đăng Thị Kiều Phước,Trường ban,Kết thúc nhiệm kỳ 2019-2024 kể từ ngày 01/11/2024,,
Bà Vũ Quỳnh Mai,Bà Vũ Quỳnh Mai,Bà Vũ Quỳnh Mai,Kiểm soát viên,,,
Bà Nguyễn Đào Phương Linh,Bà Nguyễn Đào Phương Linh,Bà Nguyễn Đào Phương Linh,Kiểm soát viên,,,
Ông Nguyễn Ngọc Đăng Khoa,Ông Nguyễn Ngọc Đăng Khoa,Ông Nguyễn Ngọc Đăng Khoa,Kiểm soát viên,Được bầu làm Thành viên Ban Kiểm soát nhiệm kỳ 2024-2029 kể từ ngày 01/11/2024,,
Ông Nguyễn Ái,Ông Nguyễn Ái,Ông Nguyễn Ái,Kiểm soát viên,Được bầu làm Thành viên Ban Kiểm soát nhiệm kỳ 2024-2029 kể từ ngày 01/11/2024,,
