row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Nhà cửa, vật kiến trúc VND",Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,75.092.806.364,3.016.080.846.085,-,3.091.173.652.449,75092806364.0,3016080846085.0,,3091173652449.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,443.271.835.498,34.534.901.897,477.806.737.395,,443271835498.0,34534901897.0,477806737395.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(29.681.949.000),-,(29.681.949.000),,-29681949000.0,,-29681949000.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,75.092.806.364,3.429.670.732.583,34.534.901.897,3.539.298.440.844,75092806364.0,3429670732583.0,34534901897.0,3539298440844.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2022,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,(336.990.217.991),-,(336.990.217.991),,-336990217991.0,,-336990217991.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(72.934.408.594),(575.581.698),(73.509.990.292),,-72934408594.0,-575581698.0,-73509990292.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,12.091.004.659,-,12.091.004.659,,12091004659.0,,12091004659.0
Tại ngày 31 tháng 12 năm 2022,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,-,(397.833.621.926),(575.581.698),(398.409.203.624),,-397833621926.0,-575581698.0,-398409203624.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,75.092.806.364,2.679.090.628.094,-,2.754.183.434.458,75092806364.0,2679090628094.0,,2754183434458.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,75.092.806.364,3.031.837.110.657,33.959.320.199,3.140.889.237.220,75092806364.0,3031837110657.0,33959320199.0,3140889237220.0
