row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,25.394.196.769,25394196769.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,71.034.756.422,71034756422.0
,,,96.428.953.191,96428953191.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Thuế TNDN hoãn lại phải trả,Nợ phải trả > Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,14.100.196.684,14100196684.0
,,,14.100.196.684,14100196684.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,82.328.756.507,82328756507.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,17.922.821.192,17922821192.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,24.718.301,24718301.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,100.276.296.000,100276296000.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,(25.394.196.769),-25394196769.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,74.882.099.231,74882099231.0
