row_label_raw,row_label_full,col_0,col_1,1.1.2022VND,Số phát sinh trong năm VND,Cán trừ trong năm VND,Số đã thực nộp trong năm VND,31.12.2022VND,numeric__col_1,numeric__1.1.2022VND,numeric__Số phát sinh trong năm VND,numeric__Cán trừ trong năm VND,numeric__Số đã thực nộp trong năm VND,numeric__31.12.2022VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,(1.026.013.523.078),(1.900.399.887.157),1.585.623.017.418,-,(1.340.790.392.817),,-1026013523078.0,-1900399887157.0,1585623017418.0,,-1340790392817.0
(a),(a) > (a),(a),Thuế TNDN tạm nộp 1%,(170.473.343.922),9.964.345.134,55.826.719.329,(150.387.306.633),(255.069.586.092),,-170473343922.0,9964345134.0,55826719329.0,-150387306633.0,-255069586092.0
(a),(a) > (a),(a),Thuế TNDN theo kết quả hoạt động sản xuất kinh doanh (nộp thừa),(4.733.339.531),(576.991.858),428.288.856,(275.654.203),(5.157.696.736),,-4733339531.0,-576991858.0,428288856.0,-275654203.0,-5157696736.0
(a),(a) > (a),(a),Thuế khác,(454.656.012),(19.510.341.108),17.505.090.769,(498.631.421),(2.958.537.772),,-454656012.0,-19510341108.0,17505090769.0,-498631421.0,-2958537772.0
(a),(a) > (a),(a),,(1.201.674.862.543),(1.910.522.874.989),1.659.383.116.372,(151.161.592.257),(1.603.976.213.417),,-1201674862543.0,-1910522874989.0,1659383116372.0,-151161592257.0,-1603976213417.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Thuế TNDN,500.912.349.561,766.954.732.478,(56.255.008.185),(542.935.163.662),668.676.910.192,,500912349561.0,766954732478.0,-56255008185.0,-542935163662.0,668676910192.0
(b),(b) > (b),(b),Thuế GTGT hàng bán nội địa,122.175.610.853,2.068.145.604.177,(1.600.883.992.714),(453.280.453.711),136.156.768.605,,122175610853.0,2068145604177.0,-1600883992714.0,-453280453711.0,136156768605.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,17.845.022.535,102.164.883.724,(2.244.115.473),(111.788.857.112),5.976.933.674,,17845022535.0,102164883724.0,-2244115473.0,-111788857112.0,5976933674.0
(b),(b) > (b),(b),Tiền sử dụng đất,-,53.255.780.854,-,(52.031.536.791),1.224.244.063,,,53255780854.0,,-52031536791.0,1224244063.0
(b),(b) > (b),(b),Thuế khác,18.556.789.906,148.474.967.739,-,(142.710.178.016),24.321.579.629,,18556789906.0,148474967739.0,,-142710178016.0,24321579629.0
(b),(b) > (b),(b),,659.489.772.855,3.138.995.968.972,(1.659.383.116.372),(1.302.746.189.292),836.356.436.163,,659489772855.0,3138995968972.0,-1659383116372.0,-1302746189292.0,836356436163.0
