row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,1.186.202.295.321,45.835.708.873,268.508.231.080,63.907.914.798,463.836.364,1.564.917.986.436,1186202295321.0,45835708873.0,268508231080.0,63907914798.0,463836364.0,1564917986436.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.401.595.505,146.726.988.258,13.280.875.975,440.000.000,161.849.459.738,,1401595505.0,146726988258.0,13280875975.0,440000000.0,161849459738.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,2.348.690.434.534,173.256.601.800,3.212.652.492,621.175.947,1.028.571.428,2.526.809.436.201,2348690434534.0,173256601800.0,3212652492.0,621175947.0,1028571428.0,2526809436201.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 16),Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 16),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 16),21.486.995.160,-,34.284.629.554,-,822.290.908,56.593.915.622,21486995160.0,,34284629554.0,,822290908.0,56593915622.0
Giảm do thoái vốn,Nguyên giá > Giảm do thoái vốn,Giảm do thoái vốn,(10.551.116.798),-,-,-,-,(10.551.116.798),-10551116798.0,,,,,-10551116798.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(134.436.380.408),(160.125.000),(771.428.571),(135.367.933.979),,,-134436380408.0,-160125000.0,-771428571.0,-135367933979.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(2.427.696.100),-,(492.180.312),-,(2.919.876.412),,-2427696100.0,,-492180312.0,,-2919876412.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,-,-,-,-,254.000.000,254.000.000,,,,,254000000.0,254000000.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,3.545.828.608.217,218.066.210.078,318.296.120.976,77.157.661.408,2.237.270.129,4.161.585.870.808,3545828608217.0,218066210078.0,318296120976.0,77157661408.0,2237270129.0,4161585870808.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
