row_label_raw,row_label_full,col_0,31.12.2022 > Giá trị VND,31.12.2022 > Dự phòng VND,31.12.2021 > Giá trị VND,31.12.2021 > Dự phòng VND,numeric__31.12.2022 > Giá trị VND,numeric__31.12.2022 > Dự phòng VND,numeric__31.12.2021 > Giá trị VND,numeric__31.12.2021 > Dự phòng VND
"Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (*)","Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (*)","Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (*)",19.794.705.295.518,-,6.270.356.295.518,-,19794705295518.0,,6270356295518.0,
Đặt cọc nhân chuyển nhượng quyền sử dụng đất và dự án,Đặt cọc nhân chuyển nhượng quyền sử dụng đất và dự án,Đặt cọc nhân chuyển nhượng quyền sử dụng đất và dự án,4.098.041.296.159,-,2.404.021.296.159,-,4098041296159.0,,2404021296159.0,
Hợp tác đầu tư phát triển dự án,Hợp tác đầu tư phát triển dự án,Hợp tác đầu tư phát triển dự án,3.019.380.000.000,-,403.430.000.000,-,3019380000000.0,,403430000000.0,
"Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư","Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư","Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư",2.037.554.937.594,-,1.176.081.806.438,-,2037554937594.0,,1176081806438.0,
Phải thu từ chuyển nhượng công ty con,Phải thu từ chuyển nhượng công ty con,Phải thu từ chuyển nhượng công ty con,2.308.212.550.000,-,286.065.500.000,-,2308212550000.0,,286065500000.0,
Phải thu do thanh lý hợp đồng (**),Phải thu do thanh lý hợp đồng (**),Phải thu do thanh lý hợp đồng (**),1.447.207.446.575,-,2.000.000.000.000,-,1447207446575.0,,2000000000000.0,
Thuế GTGT tạm nộp,Thuế GTGT tạm nộp,Thuế GTGT tạm nộp,1.046.782.316.586,-,825.527.909.539,-,1046782316586.0,,825527909539.0,
Tạm ứng lãi hợp tác đầu tư,Tạm ứng lãi hợp tác đầu tư,Tạm ứng lãi hợp tác đầu tư,783.180.704.076,-,392.157.534.246,-,783180704076.0,,392157534246.0,
Phải thu liên quan đến Sài Gòn Gôn (***),Phải thu liên quan đến Sài Gòn Gôn (***),Phải thu liên quan đến Sài Gòn Gôn (***),388.560.000.000,-,388.560.000.000,-,388560000000.0,,388560000000.0,
Tạm ứng cho các dự án,Tạm ứng cho các dự án,Tạm ứng cho các dự án,375.409.504.593,-,376.417.067.005,-,375409504593.0,,376417067005.0,
"Đặt cọc, ký quỹ dự án","Đặt cọc, ký quỹ dự án","Đặt cọc, ký quỹ dự án",77.549.259.192,-,78.254.134.192,-,77549259192.0,,78254134192.0,
Khác,Khác,Khác,1.522.382.336.845,-,817.335.133.342,-,1522382336845.0,,817335133342.0,
,,,36.898.965.647.138,-,15.418.206.676.439,-,36898965647138.0,,15418206676439.0,
