row_label_raw,row_label_full,Họ và tên,Chức danh,2022,2022_1,numeric__Chức danh,numeric__2022,numeric__2022_1
Họ và tên,Họ và tên,Họ và tên,Chức danh,Tiền lương VND,Thù lao VND,,,
Ông Bùi Thành Nhơn,Họ và tên > Ông Bùi Thành Nhơn,Ông Bùi Thành Nhơn,Chủ tịch HDQT,-,61.290.323,,,61290323.0
Ông Bùi Xuân Huy,Họ và tên > Ông Bùi Xuân Huy,Ông Bùi Xuân Huy,Chủ tịch HDQT - TGD,-,1.144.838.710,,,1144838710.0
Ông Nguyễn Ngọc Huyên,Họ và tên > Ông Nguyễn Ngọc Huyên,Ông Nguyễn Ngọc Huyên,Thành viên HDQT - TGD,-,30.000.000,,,30000000.0
Bà Hoàng Thu Châu,Họ và tên > Bà Hoàng Thu Châu,Bà Hoàng Thu Châu,Thành viên HDQT - PTGD,-,120.000.000,,,120000000.0
Ông Nguyễn Đức Dũng,Họ và tên > Ông Nguyễn Đức Dũng,Ông Nguyễn Đức Dũng,Thành viên HDQT - GĐTC,-,30.000.000,,,30000000.0
Ông Phạm Tiến Vân,Họ và tên > Ông Phạm Tiến Vân,Ông Phạm Tiến Vân,Thành viên độc lập HDQT,-,600.000.000,,,600000000.0
Ông Lê Quốc Hùng,Họ và tên > Ông Lê Quốc Hùng,Ông Lê Quốc Hùng,Thành viên độc lập HDQT,-,300.000.000,,,300000000.0
Bà Nguyễn Mỹ Hạnh,Họ và tên > Bà Nguyễn Mỹ Hạnh,Bà Nguyễn Mỹ Hạnh,Thành viên độc lập HDQT,-,600.000.000,,,600000000.0
Ông Nguyễn Ngọc Huyên,Họ và tên > Ông Nguyễn Ngọc Huyên,Ông Nguyễn Ngọc Huyên,Tổng Giám đốc,4.081.980.826,-,,4081980826.0,
Ông Bùi Xuân Huy,Họ và tên > Ông Bùi Xuân Huy,Ông Bùi Xuân Huy,Tổng Giám đốc,409.090.909,-,,409090909.0,
Bà Hoàng Thu Châu,Họ và tên > Bà Hoàng Thu Châu,Bà Hoàng Thu Châu,Phó Tổng giám đốc,272.727.273,-,,272727273.0,
Bà Dương Thị Thu Thủy,Họ và tên > Bà Dương Thị Thu Thủy,Bà Dương Thị Thu Thủy,Phó Tổng giám đốc,2.065.259.901,-,,2065259901.0,
Bà Võ Thị Cao Ly,Họ và tên > Bà Võ Thị Cao Ly,Bà Võ Thị Cao Ly,Phó Tổng giám đốc,2.896.718.481,-,,2896718481.0,
Ông Huỳnh Minh Lâm,Họ và tên > Ông Huỳnh Minh Lâm,Ông Huỳnh Minh Lâm,Kế toán trường,996.717.273,-,,996717273.0,
Ông Nguyễn Đức Dũng,Họ và tên > Ông Nguyễn Đức Dũng,Ông Nguyễn Đức Dũng,Giám Đốc Tài chính,2.363.272.727,-,,2363272727.0,
,,,,2021,2021,,2021.0,2021.0
Họ và tên,Họ và tên,Họ và tên,Chức danh,Tiền lương VND,Thù lao VND,,,
Ông Bùi Thành Nhơn,Họ và tên > Ông Bùi Thành Nhơn,Ông Bùi Thành Nhơn,Chủ tịch HDQT,-,1.200.000.000,,,1200000000.0
Ông Bùi Xuân Huy,Họ và tên > Ông Bùi Xuân Huy,Ông Bùi Xuân Huy,Thành viên HDQT - TGD,-,120.000.000,,,120000000.0
Bà Hoàng Thu Châu,Họ và tên > Bà Hoàng Thu Châu,Bà Hoàng Thu Châu,Thành viên HDQT - PTGD,-,120.000.000,,,120000000.0
Ông Phạm Tiến Vân,Họ và tên > Ông Phạm Tiến Vân,Ông Phạm Tiến Vân,Thành viên độc lập HDQT,-,600.000.000,,,600000000.0
Ông Lê Quốc Hùng,Họ và tên > Ông Lê Quốc Hùng,Ông Lê Quốc Hùng,Thành viên độc lập HDQT,-,600.000.000,,,600000000.0
Bà Nguyễn Mỹ Hạnh,Họ và tên > Bà Nguyễn Mỹ Hạnh,Bà Nguyễn Mỹ Hạnh,Thành viên độc lập HDQT,-,600.000.000,,,600000000.0
Ông Bùi Xuân Huy,Họ và tên > Ông Bùi Xuân Huy,Ông Bùi Xuân Huy,Tổng Giám đốc,5.400.000.000,-,,5400000000.0,
Bà Hoàng Thu Châu,Họ và tên > Bà Hoàng Thu Châu,Bà Hoàng Thu Châu,Phó Tổng giám đốc,3.600.000.000,-,,3600000000.0,
Ông Nguyễn Ngọc Huyên,Họ và tên > Ông Nguyễn Ngọc Huyên,Ông Nguyễn Ngọc Huyên,Phó Tổng giám đốc,824.727.273,-,,824727273.0,
Ông Huỳnh Minh Lâm,Họ và tên > Ông Huỳnh Minh Lâm,Ông Huỳnh Minh Lâm,Kế toán trường,857.363.638,-,,857363638.0,
Bà Nguyễn Thị Xuân Dung,Họ và tên > Bà Nguyễn Thị Xuân Dung,Bà Nguyễn Thị Xuân Dung,Quyền Giám đốc Tài chính,888.636.364,-,,888636364.0,
Ông Nguyễn Đức Dũng,Họ và tên > Ông Nguyễn Đức Dũng,Ông Nguyễn Đức Dũng,Giám Đốc Tài chính,123.636.364,-,,123636364.0,
