row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,12.513.975.122,12513975122.0
Các khoản phải thu khác,Tài sản > Các khoản phải thu khác,Các khoản phải thu khác,914.500.443.979,914500443979.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,40.119.546.380,40119546380.0
,,,967.133.965.481,967133965481.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ phải trả,Nợ phải trả > Nợ phải trả,Nợ phải trả,1.344.928.500,1344928500.0
,,,1.344.928.500,1344928500.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,965.789.036.981,965789036981.0
Lãi từ giao dịch mua rẻ,Nợ phải trả > Lãi từ giao dịch mua rẻ,Lãi từ giao dịch mua rẻ,(112.026.719),-112026719.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(29.510.262),-29510262.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,965.647.500.000,965647500000.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,(12.513.975.122),-12513975122.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,953.133.524.878,953133524878.0
