row_label_raw,row_label_full,col_0,col_1,Tại ngày 1.1.2022VND,Nhận tiền vayVND,Trả tiền vay/phân bổ chi phíphát hành trái phiếuVND,Chênh lệch tỷ giáVND,Vay dài hàndến hạn trảVND,Tăng/(giảmt)từ mua báncông ty conVND,Tại ngày31.12.2022VND,Số có khả năngtrả nợVND,numeric__col_1,numeric__Tại ngày 1.1.2022VND,numeric__Nhận tiền vayVND,numeric__Trả tiền vay/phân bổ chi phíphát hành trái phiếuVND,numeric__Chênh lệch tỷ giáVND,numeric__Vay dài hàndến hạn trảVND,numeric__Tăng/(giảmt)từ mua báncông ty conVND,numeric__Tại ngày31.12.2022VND,numeric__Số có khả năngtrả nợVND
(a),(a),(a),Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,,,
(a),(a) > (a),(a),- Vay ngân hàng (*),6.966.047.396.862,551.906.251.875,(9.354.978.490.451),53.025.728.452,5.078.880.602.480,93.500.000.000,3.388.381.489.218,3.388.381.489.218,,6966047396862.0,551906251875.0,-9354978490451.0,53025728452.0,5078880602480.0,93500000000.0,3388381489218.0,3388381489218.0
(a),(a) > (a),(a),- Phát hành trái phiếu (**),7.595.400.000.000,1.926.624.731.186,(10.223.676.600.000),-,20.342.714.200.000,999.075.268.814,20.640.137.600.000,20.640.137.600.000,,7595400000000.0,1926624731186.0,-10223676600000.0,,20342714200000.0,999075268814.0,20640137600000.0,20640137600000.0
(a),(a) > (a),(a),- Vay bên thứ ba (***),4.610.202.892.463,2.853.567.084.180,(4.484.144.994.586),22.849.250.000,2.513.988.685.830,(229.507.500.000),5.286.955.417.887,5.286.955.417.887,,4610202892463.0,2853567084180.0,-4484144994586.0,22849250000.0,2513988685830.0,-229507500000.0,5286955417887.0,5286955417887.0
(a),(a) > (a),(a),- Vay bên liên quan(Thuyết minh 40(b)),-,325.300.000.000,(2.000.000.000),-,-,(323.300.000.000),-,-,,,325300000000.0,-2000000000.0,,,-323300000000.0,,
(a),(a) > (a),(a),- Chỉ phí phát hànhtrải phiếu,(83.997.110.706),(59.591.361.519),234.804.430.507,-,(204.306.809.086),-,(113.090.850.804),(113.090.850.804),,-83997110706.0,-59591361519.0,234804430507.0,,-204306809086.0,,-113090850804.0,-113090850804.0
(a),(a) > (a),(a),,19.087.653.178.619,5.597.806.705.722,(23.829.995.654.530),75.874.978.452,27.731.276.679.224,539.767.768.814,29.202.383.656.301,29.202.383.656.301,,19087653178619.0,5597806705722.0,-23829995654530.0,75874978452.0,27731276679224.0,539767768814.0,29202383656301.0,29202383656301.0
(b),(b),(b),Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,,,,,,
(b),(b) > (b),(b),- Vay ngân hàng (*),9.982.182.133.236,5.344.503.328.984,(2.442.174.219.400),(21.499.999.838),(5.078.880.602.480),(152.643.355.156),7.631.487.285.346,7.631.487.285.346,,9982182133236.0,5344503328984.0,-2442174219400.0,-21499999838.0,-5078880602480.0,-152643355156.0,7631487285346.0,7631487285346.0
(b),(b) > (b),(b),- Phát hành trái phiếu (**),29.295.059.200.000,14.737.817.903.217,(1.500.188.000.000),241.866.000.000,(20.342.714.200.000),1.098.137.096.783,23.529.978.000.000,23.529.978.000.000,,29295059200000.0,14737817903217.0,-1500188000000.0,241866000000.0,-20342714200000.0,1098137096783.0,23529978000000.0,23529978000000.0
(b),(b) > (b),(b),- Vay bên thứ ba (***),2.676.804.000.000,4.767.050.000.000,-,156.452.050.000,(2.513.988.685.830),-,5.086.317.364.170,5.086.317.364.170,,2676804000000.0,4767050000000.0,,156452050000.0,-2513988685830.0,,5086317364170.0,5086317364170.0
(b),(b) > (b),(b),- Chỉ phí phát hànhtrải phiếu,(523.292.009.670),(481.640.854.338),219.356.335.395,-,204.306.809.086,-,(581.269.719.527),(581.269.719.527),,-523292009670.0,-481640854338.0,219356335395.0,,204306809086.0,,-581269719527.0,-581269719527.0
(b),(b) > (b),(b),,41.430.753.323.566,24.367.730.377.863,(3.723.005.884.005),376.818.050.162,(27.731.276.679.224),945.493.741.627,35.666.512.929.989,35.666.512.929.989,,41430753323566.0,24367730377863.0,-3723005884005.0,376818050162.0,-27731276679224.0,945493741627.0,35666512929989.0,35666512929989.0
