row_label_raw,row_label_full,col_0,Cổ phần phổ thông VND,Thăng dư vốn cổ phần VND,LNST chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Cổ phần phổ thông VND,numeric__Thăng dư vốn cổ phần VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,9.862.852.970.000,3.970.259.281.026,12.051.422.037.059,6.047.612.897.622,31.932.147.185.707,9862852970000.0,3970259281026.0,12051422037059.0,6047612897622.0,31932147185707.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,3.224.687.028.176,230.065.810.736,3.454.752.838.912,,,3224687028176.0,230065810736.0,3454752838912.0
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,775.693.580.000,3.816.412.413.600,-,-,4.592.105.993.600,775693580000.0,3816412413600.0,,,4592105993600.0
Chuyển đổi trái phiếu chuyển đổi,Chuyển đổi trái phiếu chuyển đổi,Chuyển đổi trái phiếu chuyển đổi,238.364.300.000,1.096.588.960.000,-,-,1.334.953.260.000,238364300000.0,1096588960000.0,,,1334953260000.0
Phát hành cổ phiếu phổ thông bằng thẳng dư vốn cổ phần,Phát hành cổ phiếu phổ thông bằng thẳng dư vốn cổ phần,Phát hành cổ phiếu phổ thông bằng thẳng dư vốn cổ phần,3.859.145.340.000,(3.859.145.340.000),-,-,-,3859145340000.0,-3859145340000.0,,,
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,4.568.157.000.000,-,(4.568.157.000.000),-,-,4568157000000.0,,-4568157000000.0,,
Chi phí liên quan đến việc phát hành cổ phiếu,Chi phí liên quan đến việc phát hành cổ phiếu,Chi phí liên quan đến việc phát hành cổ phiếu,-,(890.000.000),-,-,(890.000.000),,-890000000.0,,,-890000000.0
"Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con",-,-,-,47.949.030.188,47.949.030.188,,,,47949030188.0,47949030188.0
Giảm do nhận cổ tức,Giảm do nhận cổ tức,Giảm do nhận cổ tức,-,-,-,(14.270.716.021),(14.270.716.021),,,,-14270716021.0,-14270716021.0
Thoái vốn công ty con,Thoái vốn công ty con,Thoái vốn công ty con,-,-,-,5.192.615.484,5.192.615.484,,,,5192615484.0,5192615484.0
Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,-,-,(427.791.622),(178.399.084.279),(178.826.875.901),,,-427791622.0,-178399084279.0,-178826875901.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,19.304.213.190.000,5.023.225.314.626,10.707.524.273.613,6.138.150.553.730,41.173.113.331.969,19304213190000.0,5023225314626.0,10707524273613.0,6138150553730.0,41173113331969.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,2.162.071.222.708,19.458.987.888,2.181.530.210.596,,,2162071222708.0,19458987888.0,2181530210596.0
Phát hành cổ phiếu phổ thông theo chương trình ESOP cho nhân viên (i),Phát hành cổ phiếu phổ thông theo chương trình ESOP cho nhân viên (i),Phát hành cổ phiếu phổ thông theo chương trình ESOP cho nhân viên (i),193.042.000.000,(50.000.000),-,-,192.992.000.000,193042000000.0,-50000000.0,,,192992000000.0
Phát hành cổ phiếu phổ thông đề chuyển đổi trái phiếu chuyển đổi đợt 1 ngày 23 tháng 5 năm 2022 (ii),Phát hành cổ phiếu phổ thông đề chuyển đổi trái phiếu chuyển đổi đợt 1 ngày 23 tháng 5 năm 2022 (ii),Phát hành cổ phiếu phổ thông đề chuyển đổi trái phiếu chuyển đổi đợt 1 ngày 23 tháng 5 năm 2022 (ii),541.450.000,4.060.950.000,-,-,4.602.400.000,541450000.0,4060950000.0,,,4602400000.0
Phát hành cổ phiếu phổ thông đề chuyển đổi trái phiếu chuyển đổi đợt 2 ngày 30 tháng 6 năm 2022 (iii),Phát hành cổ phiếu phổ thông đề chuyển đổi trái phiếu chuyển đổi đợt 2 ngày 30 tháng 6 năm 2022 (iii),Phát hành cổ phiếu phổ thông đề chuyển đổi trái phiếu chuyển đổi đợt 2 ngày 30 tháng 6 năm 2022 (iii),541.450.000,4.060.950.000,-,-,4.602.400.000,541450000.0,4060950000.0,,,4602400000.0
Phát hành cổ phiếu phổ thông đề chuyển đổi trái phiếu chuyển đổi đợt 3 ngày 22 tháng 11 năm 2022 (iv),Phát hành cổ phiếu phổ thông đề chuyển đổi trái phiếu chuyển đổi đợt 3 ngày 22 tháng 11 năm 2022 (iv),Phát hành cổ phiếu phổ thông đề chuyển đổi trái phiếu chuyển đổi đợt 3 ngày 22 tháng 11 năm 2022 (iv),2.707.290.000,20.304.710.000,-,-,23.012.000.000,2707290000.0,20304710000.0,,,23012000000.0
"Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con",-,-,-,1.233.005.169.641,1.233.005.169.641,,,,1233005169641.0,1233005169641.0
Giảm do nhận cổ tức,Giảm do nhận cổ tức,Giảm do nhận cổ tức,-,-,-,(465.140.008),(465.140.008),,,,-465140008.0,-465140008.0
