row_label_raw,row_label_full,Tên cổ đông,Vốn góp theo mệnh giá VND,Cổ phiếu phổ thông,Tỷ lệ %,numeric__Vốn góp theo mệnh giá VND,numeric__Cổ phiếu phổ thông,numeric__Tỷ lệ %
Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,5.729.293.300.000,572.929.330,"29,38",5729293300000.0,572929330.0,29.38
Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,2.031.022.590.000,203.102.259,"10,41",2031022590000.0,203102259.0,10.41
Ông Bùi Thành Nhơn,Ông Bùi Thành Nhơn,Ông Bùi Thành Nhơn,1.694.972.050.000,169.497.205,"8,69",1694972050000.0,169497205.0,8.69
Bà Cao Thị Ngọc Sương,Bà Cao Thị Ngọc Sương,Bà Cao Thị Ngọc Sương,543.687.100.000,54.368.710,"2,79",543687100000.0,54368710.0,2.79
Cổ đông khác,Cổ đông khác,Cổ đông khác,9.502.070.340.000,950.207.034,"48,73",9502070340000.0,950207034.0,48.73
,,,19.501.045.380.000,1.950.104.538,"100,00",19501045380000.0,1950104538.0,100.0
