row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.473.782,1473782.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,90.336.907.031,90336907031.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,2.000.000,2000000.0
,,,90.340.380.813,90340380813.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Thuế TNDN hoãn lại phải trả,Nợ phải trả > Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,18.067.381.406,18067381406.0
,,,18.067.381.406,18067381406.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,72.272.999.407,72272999407.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,265.485.702.782,265485702782.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(325.038.789),-325038789.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,337.433.663.400,337433663400.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,(1.473.782),-1473782.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,327.432.189.618,327432189618.0
Khoản phải trả,Nợ phải trả > Khoản phải trả,Khoản phải trả,10.000.000.000,10000000000.0
