row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021 (Triệu VND),Quá hạn,Không nhạy cảm với lãi suất,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không nhạy cảm với lãi suất,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sãn,Tài sãn,Tài sãn,Tài sãn,Tài sãn,Tài sãn,Tài sãn,Tài sãn,Tài sãn,Tài sãn,Tài sãn,Tài sãn,,,,,,,,,
Tiền mặt và vàng,Tài sãn > Tiền mặt và vàng,Tiền mặt và vàng,-,1.075.997,-,-,-,-,-,-,1.075.997,,1075997.0,,,,,,,1075997.0
Tiền gửi tại NHNNVN,Tài sãn > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,4.796.702,-,-,-,-,-,-,4.796.702,,4796702.0,,,,,,,4796702.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sãn > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,12.992.452,21.358.953,7.999.769,2.339.303,-,-,-,44.690.477,,12992452.0,21358953.0,7999769.0,2339303.0,,,,44690477.0
Chứng khoán kinh doanh - gộp,Tài sãn > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,13.494.009,-,-,-,-,-,13.494.009,,,13494009.0,,,,,,13494009.0
Cho vay khách hàng - gộp,Tài sãn > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.182.282,-,19.828.790,34.080.889,38.377.787,26.794.559,2.227.451,1.408.152,124.899.910,2182282.0,,19828790.0,34080889.0,38377787.0,26794559.0,2227451.0,1408152.0,124899910.0
Chứng khoán đầu tư - gộp,Tài sãn > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,1.099.999,300.008,2.800.220,4.382.989,6.119.601,1.734.379,16.437.196,,,1099999.0,300008.0,2800220.0,4382989.0,6119601.0,1734379.0,16437196.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sãn > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,1.843.172,-,-,-,-,-,-,1.843.172,,1843172.0,,,,,,,1843172.0
Tài sản cố định - thuần,Tài sãn > Tài sản cố định - thuần,Tài sản cố định - thuần,-,880.990,-,-,-,-,-,-,880.990,,880990.0,,,,,,,880990.0
Tài sản Có khác - gộp,Tài sãn > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,5.753.123,-,-,-,-,-,-,5.753.123,,5753123.0,,,,,,,5753123.0
Tổng tài sãn,Tài sãn > Tổng tài sãn,Tổng tài sãn,2.182.282,27.342.436,55.781.751,42.380.666,43.517.310,31.177.548,8.347.052,3.142.531,213.871.576,2182282.0,27342436.0,55781751.0,42380666.0,43517310.0,31177548.0,8347052.0,3142531.0,213871576.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,25.240,60.967,68.086,2.018.470,-,-,2.172.763,,,25240.0,60967.0,68086.0,2018470.0,,,2172763.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,12.506.171,30.576.929,10.943.119,1.354.080,261.947,2.969.200,-,58.611.446,,12506171.0,30576929.0,10943119.0,1354080.0,261947.0,2969200.0,,58611446.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,28.888.113,28.210.150,24.047.626,17.333.254,11.333.376,2.000,109.814.519,,,28888113.0,28210150.0,24047626.0,17333254.0,11333376.0,2000.0,109814519.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,47.804,-,-,-,-,-,-,47.804,,47804.0,,,,,,,47804.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,17.930,225.630,1.365.940,143.700,17.300.000,-,19.053.200,,,17930.0,225630.0,1365940.0,143700.0,17300000.0,,19053200.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.517.492,-,-,-,-,-,-,3.517.492,,3517492.0,,,,,,,3517492.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,16.071.467,59.508.212,39.439.866,26.835.732,19.757.371,31.602.576,2.000,193.217.224,,16071467.0,59508212.0,39439866.0,26835732.0,19757371.0,31602576.0,2000.0,193217224.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,2.182.282,11.270.969,(3.726.461),2.940.800,16.681.578,11.420.177,(23.255.524),3.140.531,20.654.352,2182282.0,11270969.0,-3726461.0,2940800.0,16681578.0,11420177.0,-23255524.0,3140531.0,20654352.0
