row_label_raw,row_label_full,col_0,Doanh thu/(Chi phí),Doanh thu/(Chi phí)_1,numeric__Doanh thu/(Chi phí),numeric__Doanh thu/(Chi phí)_1
,,,2022Triệu VND,2021Triệu VND,,
Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank,,
▪ Chi phí lãi tiền gửi,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(870),(4.999),-870.0,-4999.0
▪ Chi phí thuê văn phòng,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank > ▪ Chi phí thuê văn phòng,▪ Chi phí thuê văn phòng,(4.267),(4.260),-4267.0,-4260.0
▪ Thu nhập từ góp vốn,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank > ▪ Thu nhập từ góp vốn,▪ Thu nhập từ góp vốn,-,14.025,,14025.0
▪ Thu nhập lãi cho vay,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank > ▪ Thu nhập lãi cho vay,▪ Thu nhập lãi cho vay,-,4.338,,4338.0
Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,,
▪ Thu nhập lãi tiền gửi,Công ty Tài chính TNHH MTV Bưu điện > ▪ Thu nhập lãi tiền gửi,▪ Thu nhập lãi tiền gửi,128.918,8.700,128918.0,8700.0
▪ Chi phí lãi tiền gửi,Công ty Tài chính TNHH MTV Bưu điện > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(263),(196),-263.0,-196.0
Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,,
▪ Chi phí lãi tiền gửi,Công ty Cổ phần Thăng Long GTC > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(17.703),(20.394),-17703.0,-20394.0
Công ty Cổ phần Tập đoàn BRG và công ty con,Công ty Cổ phần Tập đoàn BRG và công ty con,Công ty Cổ phần Tập đoàn BRG và công ty con,Công ty Cổ phần Tập đoàn BRG và công ty con,Công ty Cổ phần Tập đoàn BRG và công ty con,,
▪ Chi phí lãi tiền gửi,Công ty Cổ phần Tập đoàn BRG và công ty con > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(15.539),(16.467),-15539.0,-16467.0
▪ Thu nhập lãi cho vay,Công ty Cổ phần Tập đoàn BRG và công ty con > ▪ Thu nhập lãi cho vay,▪ Thu nhập lãi cho vay,-,41.407,,41407.0
▪ Thu nhập phí bảo lãnh,Công ty Cổ phần Tập đoàn BRG và công ty con > ▪ Thu nhập phí bảo lãnh,▪ Thu nhập phí bảo lãnh,11.641,71,11641.0,71.0
Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,,
▪ Chi phí lãi tiền gửi,Công ty Cổ phần Du lịch Dịch vụ Hà Nội > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(12.373),(12.817),-12373.0,-12817.0
▪ Thu nhập phí bảo lãnh,Công ty Cổ phần Du lịch Dịch vụ Hà Nội > ▪ Thu nhập phí bảo lãnh,▪ Thu nhập phí bảo lãnh,25,19,25.0,19.0
