row_label_raw,row_label_full,col_0,Trong nướcTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,numeric__Trong nướcTriệu VND,numeric__Nước ngoàiTriệu VND,numeric__Tổng cộngTriệu VND
Tổng dư nợ cho vay khách hàng và các TCTD khác,Tổng dư nợ cho vay khách hàng và các TCTD khác,Tổng dư nợ cho vay khách hàng và các TCTD khác,152.465.849,366.856,152.832.705,152465849.0,366856.0,152832705.0
Tổng tiền gửi của khách hàng và các TCTD khác,Tổng tiền gửi của khách hàng và các TCTD khác,Tổng tiền gửi của khách hàng và các TCTD khác,160.690.149,16.089,160.706.238,160690149.0,16089.0,160706238.0
Các cam kết tín dụng,Các cam kết tín dụng,Các cam kết tín dụng,11.602.633,-,11.602.633,11602633.0,,11602633.0
Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,14.963,-,14.963,14963.0,,14963.0
Kinh doanh và đầu tư chứng khoán,Kinh doanh và đầu tư chứng khoán,Kinh doanh và đầu tư chứng khoán,13.595.699,-,13.595.699,13595699.0,,13595699.0
