row_label_raw,row_label_full,col_0,31/12/2022Triệu VND,%,31/12/2021Triệu VND,%_1,numeric__31/12/2022Triệu VND,numeric__%,numeric__31/12/2021Triệu VND,numeric__%_1
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,,,,
Công ty nhà nước,Cho vay các tổ chức kinh tế > Công ty nhà nước,Công ty nhà nước,1.343.195,"0,91",1.447.697,"1,16",1343195.0,0.91,1447697.0,1.16
Công ty trách nhiệm hữu hạn,Cho vay các tổ chức kinh tế > Công ty trách nhiệm hữu hạn,Công ty trách nhiệm hữu hạn,55.020.221,"36,87",41.826.685,"33,49",55020221.0,36.87,41826685.0,33.49
Công ty cổ phần có hơn 50% vốn Nhà nước(Nhà nước chiếm cổ phần chi phối),Cho vay các tổ chức kinh tế > Công ty cổ phần có hơn 50% vốn Nhà nước(Nhà nước chiếm cổ phần chi phối),Công ty cổ phần có hơn 50% vốn Nhà nước(Nhà nước chiếm cổ phần chi phối),3.001.502,"2,01",3.105.530,"2,49",3001502.0,2.01,3105530.0,2.49
Công ty cổ phần khác,Cho vay các tổ chức kinh tế > Công ty cổ phần khác,Công ty cổ phần khác,55.411.304,"37,13",50.595.918,"40,51",55411304.0,37.13,50595918.0,40.51
Công ty hợp danh,Cho vay các tổ chức kinh tế > Công ty hợp danh,Công ty hợp danh,44.775,"0,03",24.154,"0,02",44775.0,0.03,24154.0,0.02
Doanh nghiệp tư nhân,Cho vay các tổ chức kinh tế > Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,179.560,"0,12",155.845,"0,12",179560.0,0.12,155845.0,0.12
Doanh nghiệp có vốn đầu tư nước ngoài,Cho vay các tổ chức kinh tế > Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,493.395,"0,33",437.743,"0,35",493395.0,0.33,437743.0,0.35
Hợp tác xã và liên hiệp hợp tác xã,Cho vay các tổ chức kinh tế > Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,4.382,"0,00",35.714,"0,03",4382.0,0.0,35714.0,0.03
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,,,,
"Hộ kinh doanh, cá nhân","Cho vay cá nhân > Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",33.725.951,"22,60",27.266.314,"21,83",33725951.0,22.6,27266314.0,21.83
Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,,,,
Thành phần kinh tế khác,Cho vay khác > Thành phần kinh tế khác,Thành phần kinh tế khác,2.475,"0,00",4.310,"0,00",2475.0,0.0,4310.0,0.0
,,,149.226.760,"100,00",124.899.910,"100,00",149226760.0,100.0,124899910.0,100.0
