row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc_1,Nhà cửa và vật kiến trúc_2,Nhà cửa và vật kiến trúc_3,Nhà cửa và vật kiến trúc_4,Nhà cửa và vật kiến trúc_5,numeric__Nhà cửa và vật kiến trúc,numeric__Nhà cửa và vật kiến trúc_1,numeric__Nhà cửa và vật kiến trúc_2,numeric__Nhà cửa và vật kiến trúc_3,numeric__Nhà cửa và vật kiến trúc_4,numeric__Nhà cửa và vật kiến trúc_5
,,,Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.127,258.787,290.049,96.111,12.359,675.433,18127.0,258787.0,290049.0,96111.0,12359.0,675433.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.153,60.439,106.719,20.234,10.880,199.425,1153.0,60439.0,106719.0,20234.0,10880.0,199425.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(206),-,(1.108),(502),(885),(2.701),-206.0,,-1108.0,-502.0,-885.0,-2701.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.074,319.226,395.660,115.843,22.354,872.157,19074.0,319226.0,395660.0,115843.0,22354.0,872157.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.081,142.865,158.941,73.999,8.790,389.676,5081.0,142865.0,158941.0,73999.0,8790.0,389676.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,967,19.515,28.133,9.643,1.800,60.058,967.0,19515.0,28133.0,9643.0,1800.0,60058.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(206),-,(1.074),(502),(885),(2.667),-206.0,,-1074.0,-502.0,-885.0,-2667.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.842,162.380,186.000,83.140,9.705,447.067,5842.0,162380.0,186000.0,83140.0,9705.0,447067.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,13.046,115.922,131.108,22.112,3.569,285.757,13046.0,115922.0,131108.0,22112.0,3569.0,285757.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,13.232,156.846,209.660,32.703,12.649,425.090,13232.0,156846.0,209660.0,32703.0,12649.0,425090.0
