row_label_raw,row_label_full,CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH_1,Thuyết minh > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,31/12/2022 Triệu VND > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,31/12/2021 Triệu VND > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,numeric__CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH_1,numeric__Thuyết minh > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,numeric__31/12/2022 Triệu VND > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,numeric__31/12/2021 Triệu VND > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH
2,2,2,Cam kết giao dịch hối đoái,34(a),89.722.996,94.432.442,,,89722996.0,94432442.0
2,2,2,Cam kết mua ngoại tệ,34(a),705.900,1.430.311,,,705900.0,1430311.0
2,2,2,Cam kết bán ngoại tệ,34(a),705.900,625.751,,,705900.0,625751.0
2,2,2,Cam kết giao dịch hoán đổi,34(a),88.311.196,92.376.380,,,88311196.0,92376380.0
4,4,4,Cam kết trong nghiệp vụ L/C,34(a),5.493.687,1.782.559,,,5493687.0,1782559.0
5,5,5,Bảo lãnh khác,34(a),6.108.946,4.227.452,,,6108946.0,4227452.0
6,6,6,Hợp đồng hoán đổi lãi suất,34(a),7.759.570,8.089.470,,,7759570.0,8089470.0
7,7,7,Lãi cho vay và phí phải thu chưa thu được,34(b),1.642.443,2.178.165,,,1642443.0,2178165.0
8,8,8,Nợ gốc khó đòi đã xử lý,34(c),4.731.933,4.358.723,,,4731933.0,4358723.0
9,9,9,Tài sản và chứng từ khác,34(d),1.534.181,1.524.891,,,1534181.0,1524891.0
