row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022 (Triệu VND),Quá hạn,Không nhạy cảm với lãi suất,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không nhạy cảm với lãi suất,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.037.776,-,-,-,-,-,-,1.037.776,,1037776.0,,,,,,,1037776.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,9.280.904,-,-,-,-,-,-,9.280.904,,9280904.0,,,,,,,9280904.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,7.711.185,23.667.000,13.915.225,150.000,3.150.000,-,-,48.593.410,,7711185.0,23667000.0,13915225.0,150000.0,3150000.0,,,48593410.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,5.407.085,-,-,-,-,-,5.407.085,,,5407085.0,,,,,,5407085.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.567.814,-,33.056.813,51.818.670,38.053.871,19.117.571,4.336.532,275.489,149.226.760,2567814.0,,33056813.0,51818670.0,38053871.0,19117571.0,4336532.0,275489.0,149226760.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,-,699.485,300.000,1.819.823,2.481.556,2.887.750,8.188.614,,,,699485.0,300000.0,1819823.0,2481556.0,2887750.0,8188614.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,1.819.070,-,-,-,-,-,-,1.819.070,,1819070.0,,,,,,,1819070.0
Tài sản cố định - thuần,Tài sản > Tài sản cố định - thuần,Tài sản cố định - thuần,-,1.080.992,-,-,-,-,-,-,1.080.992,,1080992.0,,,,,,,1080992.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,9.843.204,-,-,-,-,-,-,9.843.204,,9843204.0,,,,,,,9843204.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.567.814,30.773.131,62.130.898,66.433.380,38.503.871,24.087.394,6.818.088,3.163.239,234.477.815,2567814.0,30773131.0,62130898.0,66433380.0,38503871.0,24087394.0,6818088.0,3163239.0,234477815.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,1.700.330,53.201,68.086,2.017.079,-,-,3.838.696,,,1700330.0,53201.0,68086.0,2017079.0,,,3838696.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,8.119.290,25.815.862,13.816.634,533.192,3.500.593,6.470.750,2.353.000,60.609.321,,8119290.0,25815862.0,13816634.0,533192.0,3500593.0,6470750.0,2353000.0,60609321.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,29.723.855,21.353.798,40.006.567,17.443.011,7.023.528,20,115.550.779,,,29723855.0,21353798.0,40006567.0,17443011.0,7023528.0,20.0,115550779.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,14.963,-,-,-,-,-,-,14.963,,14963.0,,,,,,,14963.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,3.200.000,2.800.000,15.504.600,-,21.504.600,,,,,3200000.0,2800000.0,15504600.0,,21504600.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.409.402,-,-,-,-,-,-,4.409.402,,4409402.0,,,,,,,4409402.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,12.543.655,57.240.047,35.223.633,43.807.845,25.760.683,28.998.878,2.353.020,205.927.761,,12543655.0,57240047.0,35223633.0,43807845.0,25760683.0,28998878.0,2353020.0,205927761.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,2.567.814,18.229.476,4.890.851,31.209.747,(5.303.974),(1.673.289),(22.180.790),810.219,28.550.054,2567814.0,18229476.0,4890851.0,31209747.0,-5303974.0,-1673289.0,-22180790.0,810219.0,28550054.0
