row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính và tài sản khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính và tài sản khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,377.996,379.660,757.656,377996.0,379660.0,757656.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6.378,86.144,92.522,6378.0,86144.0,92522.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(1.071),(1.071),,-1071.0,-1071.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,384.374,464.733,849.107,384374.0,464733.0,849107.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,162.423,162.423,,162423.0,162423.0
Phân bổ trong năm,Hao mòn lũy kế > Phân bổ trong năm,Phân bổ trong năm,-,31.853,31.853,,31853.0,31853.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(1.071),(1.071),,-1071.0,-1071.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,193.205,193.205,,193205.0,193205.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,377.996,217.237,595.233,377996.0,217237.0,595233.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,384.374,271.528,655.902,384374.0,271528.0,655902.0
