row_label_raw,row_label_full,2017,Khu vực Miền Bắc Triệu VND,Khu vực Miền Trung Triệu VND,Khu vực Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__Khu vực Miền Bắc Triệu VND,numeric__Khu vực Miền Trung Triệu VND,numeric__Khu vực Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,4.137.017,3.970.019,23.461.757,(10.545.477),21.023.316,4137017.0,3970019.0,23461757.0,-10545477.0,21023316.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(2.939.605),(2.453.110),(21.241.449),10.545.477,(16.088.687),-2939605.0,-2453110.0,-21241449.0,10545477.0,-16088687.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,1.197.412,1.516.909,2.220.308,-,4.934.629,1197412.0,1516909.0,2220308.0,,4934629.0
Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,190.452,142.054,2.928.539,-,3.261.045,190452.0,142054.0,2928539.0,,3261045.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,1.387.864,1.658.963,5.148.847,-,8.195.674,1387864.0,1658963.0,5148847.0,,8195674.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(664.918),(620.406),(4.710.797),-,(5.996.121),-664918.0,-620406.0,-4710797.0,,-5996121.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,722.946,1.038.557,438.050,-,2.199.553,722946.0,1038557.0,438050.0,,2199553.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,-,-,(715.933),-,(715.933),,,-715933.0,,-715933.0
TỔNG LỢI NHUẬN/(Lỗ) TRƯỚC THUẾ,TỔNG LỢI NHUẬN/(Lỗ) TRƯỚC THUẾ,TỔNG LỢI NHUẬN/(Lỗ) TRƯỚC THUẾ,722.946,1.038.557,(277.883),-,1.483.620,722946.0,1038557.0,-277883.0,,1483620.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,,,,,
