row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017 > Quá hạn trên3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Quá hạnQuá hạn đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trong hạn > Đến 1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trong hạn > Từ trên 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trong hạn > Từ trên 3 đến12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trong hạn > Từ trên 1 đến5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trong hạn > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trong hạn > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Quá hạn trên3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Quá hạnQuá hạn đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trong hạn > Đến 1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trong hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trong hạn > Từ trên 1 đến5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trong hạn > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trong hạn > TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,5.906.775,-,-,-,-,5.906.775,,,5906775.0,,,,,5906775.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,1.965.587,-,-,-,-,1.965.587,,,1965587.0,,,,,1965587.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sản > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,552,-,8.170.876,-,-,-,-,8.171.428,552.0,,8170876.0,,,,,8171428.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,-,63.250,-,-,-,63.250,,,,63250.0,,,,63250.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,-,20.251,-,-,-,-,20.251,,,20251.0,,,,,20251.0
Cho vay khách hàng – gộp (i) (*),Tài sản > Cho vay khách hàng – gộp (i) (*),Cho vay khách hàng – gộp (i) (*),1.854.419,811.652,11.295.992,22.341.417,61.105.614,65.329.435,53.971.690,216.710.219,1854419.0,811652.0,11295992.0,22341417.0,61105614.0,65329435.0,53971690.0,216710219.0
Hoạt động mua nợ – gộp,Tài sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,-,-,-,-,-,648.763,648.763,,,,,,,648763.0,648763.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,29.460.378,246.497,-,2.300.000,43.266.699,75.273.574,,,29460378.0,246497.0,,2300000.0,43266699.0,75273574.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,3.247.021,3.247.021,,,,,,,3247021.0,3247021.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,18.180,835,7.964,467.022,7.060.248,7.554.249,,,18180.0,835.0,7964.0,467022.0,7060248.0,7554249.0
Tài sản Có khác – gộp (*),Tài sản > Tài sản Có khác – gộp (*),Tài sản Có khác – gộp (*),1.184.962,-,5.363.300,611.141,3.651.602,14.614.613,24.410.791,49.836.409,1184962.0,,5363300.0,611141.0,3651602.0,14614613.0,24410791.0,49836409.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),3.039.933,811.652,62.201.339,23.263.140,64.765.180,82.711.070,132.605.212,369.397.526,3039933.0,811652.0,62201339.0,23263140.0,64765180.0,82711070.0,132605212.0,369397526.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,6.257,24.009,80.251,120.220,747,231.484,,,6257.0,24009.0,80251.0,120220.0,747.0,231484.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,3.941.472,6.239.692,672.963,998.869,3.335,11.856.331,,,3941472.0,6239692.0,672963.0,998869.0,3335.0,11856331.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,126.057.858,61.785.328,87.859.820,41.143.714,58.525,316.905.245,,,126057858.0,61785328.0,87859820.0,41143714.0,58525.0,316905245.0
"Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,-,708,707,-,1.415,,,,,708.0,707.0,,1415.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,600,-,-,439.770,5.161.016,5.601.386,,,600.0,,,439770.0,5161016.0,5601386.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.737.877,1.582.249,1.865.490,349.760,9.226,6.544.602,,,2737877.0,1582249.0,1865490.0,349760.0,9226.0,6544602.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,132.744.064,69.631.278,90.479.232,43.053.040,5.232.849,341.140.463,,,132744064.0,69631278.0,90479232.0,43053040.0,5232849.0,341140463.0
Mức chênh thanh khoản ròng[(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng[(3)=(1)-(2)],Mức chênh thanh khoản ròng[(3)=(1)-(2)],3.039.933,811.652,(70.542.725),(46.368.138),(25.714.052),39.658.030,127.372.363,28.257.063,3039933.0,811652.0,-70542725.0,-46368138.0,-25714052.0,39658030.0,127372363.0,28257063.0
